DLiP-ID,C004VW
DLiP-Mol-ID,35834
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H16N4O3S2/c27-21-18-8-4-3-7-17(18)19(12-20(21)30-22-23-13-24-25-22)26-31(28,29)16-10-9-14-5-1-2-6-15(14)11-16/h1-13,26-27H,(H,23,24,25)"
Standard Inchi Key(RDKit),UGODIOOKONOGOI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(Nc1cc(Sc2ncn[nH]2)c(O)c2ccccc12)c1ccc2ccccc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),448.529
MW Monoisotopic(RDKit),448.066382372
MolLogP(RDKit),4.7687
XLogP(SDF),
XLogP(CDK),4.959
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),107.97
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.334403698527317
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,19855321.724029414
qed,0.3344036985273166
Chi0,21.424074484064484
Chi1,15.009969818002325
TPSA,107.97000000000001
Chi0n,15.980187447820468
Chi0v,17.61318060967592
Chi1n,9.30713276628678
Chi1v,11.606792594808903
Chi2n,6.823596834538773
Chi2v,9.53664795787465
Chi3n,4.85628303797081
Chi3v,7.140620325943083
Chi4n,3.3824865528426207
Chi4v,5.2779521694391365
MolMR,120.875
MolWt,448.52900000000017
fr_SH,0
Kappa1,19.40626394473257
Kappa2,7.603373136280782
Kappa3,3.687884173934877
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
