DLiP-ID,T000EI
DLiP-Mol-ID,15878
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H25N3O5S/c1-33-20-13-14-21(23(17-20)34-2)28-26(30)22(16-18-8-4-3-5-9-18)29-35(31,32)24-12-6-10-19-11-7-15-27-25(19)24/h3-15,17,22,29H,16H2,1-2H3,(H,28,30)"
Standard Inchi Key(RDKit),BCXRZGFHZUTQRD-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccc3cccnc23)c(OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),491.569
MW Monoisotopic(RDKit),491.1514919
MolLogP(RDKit),3.7803
XLogP(SDF),
XLogP(CDK),3.513
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),106.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.369104867321246
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,78384676.3688713
qed,0.3691048673212464
Chi0,24.838288046437576
Chi1,16.90734662796981
TPSA,106.62
Chi0n,19.264064157314074
Chi0v,20.0805607382418
Chi1n,10.839484489517938
Chi1v,12.322647737112332
Chi2n,7.750331465467489
Chi2v,9.432733706877004
Chi3n,5.448325817193067
Chi3v,6.951606722216837
Chi4n,3.7031444311849375
Chi4v,5.077868691881809
MolMR,134.17419999999993
MolWt,491.56900000000024
fr_SH,0
Kappa1,24.183342389722284
