DLiP-ID,I000WM
DLiP-Mol-ID,29058
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H32FN5O4/c1-13(26-3)23(32)28-20(12-34-4)24(33)29-8-7-21-22(29)18(11-30(21)14(2)31)17-10-27-19-6-5-15(25)9-16(17)19/h5-6,9-10,13,18,20-22,26-27H,7-8,11-12H2,1-4H3,(H,28,32)/t13-,18+,20-,21+,22+/m0/s1"
Standard Inchi Key(RDKit),OZIABJPOLKJDSR-ACEXNVDFSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@@H](COC)C(=O)N1CC[C@@H]2[C@H]1[C@@H](c1c[nH]c3ccc(F)cc13)CN2C(C)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),473.549
MW Monoisotopic(RDKit),473.243832724
MolLogP(RDKit),0.961300000000002
XLogP(SDF),
XLogP(CDK),0.41
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),106.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.555546887102499
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,50024275.22938635
qed,0.5555468871024986
Chi0,24.56818514289333
Chi1,16.260457910671605
TPSA,106.77000000000001
Chi0n,19.929964373317418
Chi0v,19.929964373317418
Chi1n,11.571866625411198
Chi1v,11.571866625411198
Chi2n,9.116921683349227
Chi2v,9.116921683349227
Chi3n,7.162883343573937
Chi3v,7.162883343573937
Chi4n,5.371826935954272
Chi4v,5.371826935954272
MolMR,124.61910000000007
MolWt,473.54900000000015
fr_SH,0
Kappa1,24.154305269127914
Kappa2,9.712356061780676
Kappa3,4.273168445650464
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1088.4977645799577
MolLogP,0.9613000000000009
NOCount,9
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.670985339356994
SMR_VSA1,23.510889553690333
SMR_VSA2,0.0
SMR_VSA3,25.417375190660827
SMR_VSA4,0.0
SMR_VSA5,50.35356538506049
SMR_VSA6,33.85386430029279
SMR_VSA7,35.7766171097408
SMR_VSA8,0.0
SMR_VSA9,0.0
