DLiP-ID,C100IC
DLiP-Mol-ID,36457
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13NO2/c19-15-10-5-12(6-11-15)4-8-14-9-7-13-2-1-3-16(20)17(13)18-14/h1-11,19-20H/b8-4+"
Standard Inchi Key(RDKit),YMSHSKJZBZKCOR-XBXARRHUSA-N
Canonical SMILES(RDKit),Oc1ccc(/C=C/c2ccc3cccc(O)c3n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),263.296
MW Monoisotopic(RDKit),263.094628656
MolLogP(RDKit),3.8164
XLogP(SDF),
XLogP(CDK),3.614
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.73869647028492
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,51352.13667441197
qed,0.7386964702849202
Chi0,13.94938298937633
Chi1,9.720346690612276
TPSA,53.35
Chi0n,10.692493747585761
Chi0v,10.692493747585761
Chi1n,6.281178536948047
Chi1v,6.281178536948047
Chi2n,4.509840278156623
Chi2v,4.509840278156623
Chi3n,3.060122019134972
Chi3v,3.060122019134972
Chi4n,2.0063812988251724
Chi4v,2.0063812988251724
MolMR,80.44260000000001
MolWt,263.296
fr_SH,0
Kappa1,12.23544093091737
Kappa2,5.052938138047801
Kappa3,2.469926507835798
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,776.601925447718
MolLogP,3.8164000000000025
NOCount,3
fr_Ar_N,1
