DLiP-ID,C001IH
DLiP-Mol-ID,32425
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H29N3O2/c28-19-22-11-13-26(14-12-22)32-21-25(31)20-29-15-17-30(18-16-29)27(23-7-3-1-4-8-23)24-9-5-2-6-10-24/h1-14,25,27,31H,15-18,20-21H2"
Standard Inchi Key(RDKit),PLIYSHLLWGTRBD-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccc(OCC(O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),427.548
MW Monoisotopic(RDKit),427.225977168
MolLogP(RDKit),3.70518
XLogP(SDF),
XLogP(CDK),3.769
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.593989069608627
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,27212832.526677266
qed,0.5939890696086264
Chi0,22.175151339621046
Chi1,15.724677988261847
TPSA,59.730000000000004
Chi0n,18.177347666617
Chi0v,18.177347666617
Chi1n,11.100523947364424
Chi1v,11.100523947364424
Chi2n,8.161489135689802
Chi2v,8.161489135689802
Chi3n,5.897401715940676
Chi3v,5.897401715940676
Chi4n,4.257725464424551
Chi4v,4.257725464424551
MolMR,125.39880000000002
MolWt,427.5480000000001
fr_SH,0
Kappa1,22.039299047751026
Kappa2,10.92089930821858
Kappa3,5.742939343479859
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,955.0812711173037
MolLogP,3.705180000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.305889519806564
SMR_VSA1,9.843390348640755
SMR_VSA2,5.261891554738487
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,12.145807216896262
SMR_VSA6,39.33066399407579
SMR_VSA7,101.61949343355357
SMR_VSA8,0.0
SMR_VSA9,11.818733146076179
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,1
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,189.64426541124357
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,9.799819461700956
PEOE_VSA3,0.0
PEOE_VSA4,5.261891554738487
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,35.392371257240434
PEOE_VSA8,32.72378202956288
PEOE_VSA9,17.67451363363723
RingCount,4
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,427.225977168
NumHDonors,1
PEOE_VSA10,18.460360185545127
PEOE_VSA11,0.0
