DLiP-ID,J100B0
DLiP-Mol-ID,37098
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15N3O3/c1-9-4-6-12(7-5-9)17-16(20)14-11(3)22-19-15(14)13-8-10(2)21-18-13/h4-8H,1-3H3,(H,17,20)"
Standard Inchi Key(RDKit),CKZLOCWIPRREGR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(NC(=O)c2c(-c3cc(C)on3)noc2C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),297.314
MW Monoisotopic(RDKit),297.11134134
MolLogP(RDKit),3.50716
XLogP(SDF),
XLogP(CDK),3.04
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.799706002052965
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,142993.4958044017
qed,0.7997060020529647
Chi0,15.689869965382487
Chi1,10.541713895658194
TPSA,81.16000000000001
Chi0n,12.505923408339637
Chi0v,12.505923408339637
Chi1n,6.823451877101409
Chi1v,6.823451877101409
Chi2n,5.1053193246522435
Chi2v,5.1053193246522435
Chi3n,3.2698095577700794
Chi3v,3.2698095577700794
Chi4n,2.1228786914408464
Chi4v,2.1228786914408464
MolMR,80.60620000000002
MolWt,297.314
fr_SH,0
Kappa1,14.06439713611295
Kappa2,5.477954834314753
Kappa3,2.627520643542806
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,815.5360554065945
MolLogP,3.5071600000000016
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.921834994414107
SMR_VSA1,13.840727058018519
SMR_VSA2,0.0
SMR_VSA3,10.31332651425089
SMR_VSA4,0.0
SMR_VSA5,20.771211599071872
SMR_VSA6,5.316788604006331
SMR_VSA7,52.97923316345093
SMR_VSA8,0.0
SMR_VSA9,11.387855989696922
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,126.6474113744486
NHOHCount,1
PEOE_VSA1,14.362978477953028
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,28.009512142871106
PEOE_VSA7,32.903945735995094
PEOE_VSA8,11.753753343145172
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,11.594566004035068
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,297.11134134
NumHDonors,1
PEOE_VSA10,28.471802319142803
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,16.220506243602397
SlogP_VSA3,0.0
SlogP_VSA4,20.771211599071872
SlogP_VSA5,27.4419350052147
SlogP_VSA6,39.37802521625475
SlogP_VSA7,0.0
SlogP_VSA8,11.387855989696922
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,34.159188593826364
EState_VSA4,5.563451491696996
EState_VSA5,0.0
EState_VSA6,19.913841467842857
EState_VSA7,31.18920547353706
EState_VSA8,15.630115118257223
EState_VSA9,9.046189873946696
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
