DLiP-ID,T0023C
DLiP-Mol-ID,18129
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N4O3/c1-11-9-15(7-5-12(11)6-8-16(23)24)21-17(25)13-3-2-4-14(10-13)22-18(19)20/h2-10H,1H3,(H,21,25)(H,23,24)(H4,19,20,22)/b8-6+"
Standard Inchi Key(RDKit),HCUONOGSJKCNGD-SOFGYWHQSA-N
Canonical SMILES(RDKit),Cc1cc(NC(=O)c2cccc(NC(=N)N)c2)ccc1/C=C/C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),338.367
MW Monoisotopic(RDKit),338.137890436
MolLogP(RDKit),2.65049
XLogP(SDF),
XLogP(CDK),2.678
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),128.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.325125550481922
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,285345.2634491575
qed,0.3251255504819224
Chi0,18.396976746569035
Chi1,11.846244348298507
TPSA,128.29999999999998
Chi0n,13.537212868323946
Chi0v,13.537212868323946
Chi1n,7.390614902090118
Chi1v,7.390614902090118
Chi2n,5.316542079078439
Chi2v,5.316542079078439
Chi3n,3.33690378358223
Chi3v,3.33690378358223
Chi4n,2.1984782252568236
Chi4v,2.1984782252568236
MolMR,97.78080000000004
MolWt,338.36700000000013
fr_SH,0
Kappa1,17.73932330578097
Kappa2,7.780190170400416
Kappa3,5.207347653783654
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,859.1497245725477
MolLogP,2.6504900000000005
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1382783205910254
SMR_VSA1,14.69560176298435
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,6.923737199690624
SMR_VSA6,10.633577208012662
SMR_VSA7,65.23094406115614
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.2307909955335
NHOHCount,6
PEOE_VSA1,21.47377208001555
PEOE_VSA2,10.203820789863343
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,54.458495632226544
PEOE_VSA8,23.014244147898
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,35.286832242248195
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,338.13789043599996
NumHDonors,5
PEOE_VSA10,0.0
PEOE_VSA11,5.959554568743835
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
