DLiP-ID,C004UH
DLiP-Mol-ID,35721
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H5BrN2OS/c9-6-3-1-2-5(4-6)7-10-11-8(13)12-7/h1-4H,(H,11,13)"
Standard Inchi Key(RDKit),WZMCNMSXIKEYTO-UHFFFAOYSA-N
Canonical SMILES(RDKit),Sc1nnc(-c2cccc(Br)c2)o1
SMILES(SDF),
MW(SDF),
MW(RDKit),257.112
MW Monoisotopic(RDKit),255.93059588
MolLogP(RDKit),2.7878
XLogP(SDF),
XLogP(CDK),4.078
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.798171917437898
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2
Common Target Pref Name,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2
RDKit Descriptors
Ipc,1462.844321128034
qed,0.7981719174378978
Chi0,9.259148545064338
Chi1,6.2540201954234895
TPSA,38.92
Chi0n,6.437254626731467
Chi0v,8.91767835684609
Chi1n,3.539418125264332
Chi1v,4.779629990321642
Chi2n,2.400136171384258
Chi2v,3.698385886011003
Chi3n,1.485900782900705
Chi3v,2.1598822336352637
Chi4n,0.9536497536653041
Chi4v,1.4840778962109182
MolMR,54.686000000000014
MolWt,257.11199999999997
fr_SH,1
Kappa1,8.773528427180514
Kappa2,3.511664816527998
Kappa3,1.9193160932834354
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,429.5873052104766
MolLogP,2.7878000000000007
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.462852755389602
SMR_VSA1,4.417150937053347
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,5.222755905846688
SMR_VSA6,0.0
SMR_VSA7,28.738187789678854
SMR_VSA8,0.0
SMR_VSA9,11.454175413722904
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,88.71319038897866
NHOHCount,0
PEOE_VSA1,4.417150937053347
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,34.62510011442395
PEOE_VSA7,18.19910120538483
PEOE_VSA8,10.03617100752941
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,28.55873304596234
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,255.93059588
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.890723922025908
PEOE_VSA13,5.222755905846688
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,10.197363616602075
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,38.37809463257889
SlogP_VSA7,0.0
SlogP_VSA8,11.454175413722904
