DLiP-ID,T002JR
DLiP-Mol-ID,18838
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N2O5/c1-31-22(29)25-13-8-16-27(25)21(28)24(14-15-25,17-19-9-4-2-5-10-19)26-23(30)32-18-20-11-6-3-7-12-20/h2-7,9-12H,8,13-18H2,1H3,(H,26,30)/t24-,25+/m0/s1"
Standard Inchi Key(RDKit),IKKUIVKTPRDZJW-LOSJGSFVSA-N
Canonical SMILES(RDKit),COC(=O)[C@]12CCCN1C(=O)[C@](Cc1ccccc1)(NC(=O)OCc1ccccc1)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),436.508
MW Monoisotopic(RDKit),436.199821996
MolLogP(RDKit),3.2223
XLogP(SDF),
XLogP(CDK),3.497
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),84.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.703148041146088
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,23631060.286442194
qed,0.7031480411460875
Chi0,22.606237238868697
Chi1,15.488766183478196
TPSA,84.94000000000001
Chi0n,18.211705208021364
Chi0v,18.211705208021364
Chi1n,10.92367306134069
Chi1v,10.92367306134069
Chi2n,8.514723305876103
Chi2v,8.514723305876103
Chi3n,6.576826042404332
Chi3v,6.576826042404332
Chi4n,4.947277114995132
Chi4v,4.947277114995132
MolMR,117.56770000000003
MolWt,436.50800000000027
fr_SH,0
Kappa1,21.865905602599526
Kappa2,9.023733614095068
Kappa3,4.0682018354158345
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,980.341490861134
MolLogP,3.2223000000000015
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5809602754156715
SMR_VSA1,23.85733745981556
SMR_VSA2,0.0
