DLiP-ID,C001T1
DLiP-Mol-ID,32870
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H10ClN3OS/c11-7-1-3-8(4-2-7)15-6-5-9-13-14-10(12)16-9/h1-4H,5-6H2,(H2,12,14)"
Standard Inchi Key(RDKit),ZUFMTDGRGLKIFZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1nnc(CCOc2ccc(Cl)cc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),255.73
MW Monoisotopic(RDKit),255.02331062
MolLogP(RDKit),2.3952
XLogP(SDF),
XLogP(CDK),2.894
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.911372084197587
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6470.747190216077
qed,0.9113720841975866
Chi0,11.380468888623982
Chi1,7.737183443017882
TPSA,61.03
Chi0n,8.389853153258093
Chi0v,9.962278680204275
Chi1n,4.700839132529185
Chi1v,5.895300186466138
Chi2n,3.0864201469890307
Chi2v,4.616505839353387
Chi3n,1.8807708554691676
Chi3v,2.9449335155563485
Chi4n,1.1546238890784997
Chi4v,1.8707192813690692
MolMR,64.97240000000002
MolWt,255.73000000000002
fr_SH,0
Kappa1,11.164239640250882
Kappa2,5.136186571808611
Kappa3,3.079795010931358
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,457.3426310208623
MolLogP,2.3952
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8172577433871915
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,12.340549441675103
SMR_VSA7,34.295725284440536
SMR_VSA8,0.0
