DLiP-ID,C002VS
DLiP-Mol-ID,33238
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H15N3.HNO3/c1-9-8-12(14-7-6-13)15-11-5-3-2-4-10(9)11;2-1(3)4/h2-5,8H,6-7,13H2,1H3,(H,14,15);(H,2,3,4)"
Standard Inchi Key(RDKit),LGPHBKCKJPZJHB-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(NCCN)nc2ccccc12.O=[N+]([O-])O
SMILES(SDF),
MW(SDF),
MW(RDKit),264.285
MW Monoisotopic(RDKit),264.122240372
MolLogP(RDKit),1.56612
XLogP(SDF),
XLogP(CDK),2.018
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),114.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.572258744709176
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,14336.105821421374
qed,0.5722587447091761
Chi0,14.25071237662706
Chi1,9.04091255785876
TPSA,114.31
Chi0n,10.536452544938452
Chi0v,10.536452544938452
Chi1n,5.678864186606458
Chi1v,5.678864186606458
Chi2n,3.794829882871454
Chi2v,3.794829882871454
Chi3n,2.3734743054244998
Chi3v,2.3734743054244998
Chi4n,1.64026353956869
Chi4v,1.64026353956869
MolMR,72.805
MolWt,264.285
fr_SH,0
Kappa1,14.65027727546715
Kappa2,7.119531474287862
Kappa3,4.761765138594214
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,555.6658347787899
MolLogP,1.5661199999999997
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,3.9899996499580194e-07
SMR_VSA1,10.293872067709833
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,6.923737199690624
SMR_VSA6,18.406301415831482
SMR_VSA7,46.00960510277062
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.72437398369229
NHOHCount,4
PEOE_VSA1,16.257709105945807
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,10.114318268765572
PEOE_VSA6,18.19910120538483
PEOE_VSA7,24.619922828310838
PEOE_VSA8,18.475737026289945
PEOE_VSA9,5.516700717616262
RingCount,2
SMR_VSA10,16.720787709916085
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,264.122240372
NumHDonors,3
