DLiP-ID,T001KI
DLiP-Mol-ID,17323
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H36N2O6/c1-29(2)16-6-14-27(15-7-17-35-27)26(32)28-21(25(30)31)18-19-10-12-20(13-11-19)24-22(33-3)8-5-9-23(24)34-4/h5,8-13,21H,6-7,14-18H2,1-4H3,(H,28,32)(H,30,31)/t21-,27+/m0/s1"
Standard Inchi Key(RDKit),FNQSXZJGCVTEOX-KDYSTLNUSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@]2(CCCN(C)C)CCCO2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),484.593
MW Monoisotopic(RDKit),484.257336872
MolLogP(RDKit),3.3737
XLogP(SDF),
XLogP(CDK),3.18
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),97.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.476712864165079
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,62494209.24938373
qed,0.4767128641650786
Chi0,25.424074484064484
Chi1,16.79086132405941
TPSA,97.33
Chi0n,21.004218265142068
Chi0v,21.004218265142068
Chi1n,11.921697068784452
Chi1v,11.921697068784452
Chi2n,9.156001079122962
Chi2v,9.156001079122962
Chi3n,6.4167463768378825
Chi3v,6.4167463768378825
Chi4n,4.536819860721457
Chi4v,4.536819860721457
MolMR,133.95750000000004
