DLiP-ID,C001QI
DLiP-Mol-ID,32770
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22FN5O3/c1-2-24-9-11-25(12-10-24)14-20-23-18-8-7-15(27(29)30)13-16(18)21(28)26(20)19-6-4-3-5-17(19)22/h3-8,13H,2,9-12,14H2,1H3"
Standard Inchi Key(RDKit),CFFXRIUELQDINN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2F)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.437
MW Monoisotopic(RDKit),411.170667784
MolLogP(RDKit),2.5705
XLogP(SDF),
XLogP(CDK),3.122
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),84.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.473973378391671
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6995198.239633656
qed,0.4739733783916715
Chi0,21.250347897697548
Chi1,14.473565548236335
TPSA,84.51000000000002
Chi0n,16.622869893347275
Chi0v,16.622869893347275
Chi1n,9.873306448689588
Chi1v,9.873306448689588
Chi2n,7.2889768947275
Chi2v,7.2889768947275
Chi3n,5.502584788055142
Chi3v,5.502584788055142
Chi4n,3.7843021320604784
Chi4v,3.7843021320604784
MolMR,111.34340000000002
MolWt,411.4370000000002
fr_SH,0
Kappa1,20.116988993052487
Kappa2,8.289625367939694
Kappa3,3.8105632203474715
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1155.0772686514633
MolLogP,2.570500000000001
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8446575863316452
SMR_VSA1,9.313726096492491
SMR_VSA2,0.0
SMR_VSA3,19.35089763043952
SMR_VSA4,0.0
SMR_VSA5,13.4684936056032
SMR_VSA6,32.72378202956288
SMR_VSA7,74.5743171661665
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,171.8678935189081
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,24.375864831479227
PEOE_VSA3,9.374393568622029
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.056471336613843
PEOE_VSA7,24.743857611297404
PEOE_VSA8,38.31175976057352
PEOE_VSA9,28.058378661494864
RingCount,4
SMR_VSA10,16.59031120676462
fr_Al_COO,0
