DLiP-ID,T000DL
DLiP-Mol-ID,15829
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H26N2O6/c1-32-15-12-14-10-11-26-22(21(14)20(13-15)33-2)17-7-5-8-18(24(26)30)27(17)25(31)23(29)16-6-3-4-9-19(16)28/h3-4,6,9,12-13,17-18,22,28H,5,7-8,10-11H2,1-2H3"
Standard Inchi Key(RDKit),BARFVEBATVBYQH-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2c(c(OC)c1)C1C3CCCC(C(=O)N1CC2)N3C(=O)C(=O)c1ccccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),450.491
MW Monoisotopic(RDKit),450.179086552
MolLogP(RDKit),2.4814
XLogP(SDF),
XLogP(CDK),2.803
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),96.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.568007947841465
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,38061302.13664251
qed,0.5680079478414652
Chi0,23.27529192407988
Chi1,15.955927458031292
TPSA,96.38000000000001
Chi0n,18.614568567458562
Chi0v,18.614568567458562
Chi1n,11.161546517208482
Chi1v,11.161546517208482
Chi2n,8.70167089092437
Chi2v,8.70167089092437
Chi3n,7.091019787985554
Chi3v,7.091019787985554
Chi4n,5.632574026909841
Chi4v,5.632574026909841
MolMR,118.41430000000003
MolWt,450.4910000000002
fr_SH,0
Kappa1,21.303825512053102
Kappa2,8.09834380232726
Kappa3,3.2340574288080766
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1128.4622190152675
MolLogP,2.481400000000001
NOCount,8
fr_Ar_N,0
fr_COO2,0
