DLiP-ID,C000FG
DLiP-Mol-ID,30743
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13NO2/c16-10-13(12-3-7-15(18)8-4-12)9-11-1-5-14(17)6-2-11/h1-8,13,17-18H,9H2/t13-/m0/s1"
Standard Inchi Key(RDKit),GHZHWDWADLAOIQ-ZDUSSCGKSA-N
Canonical SMILES(RDKit),N#C[C@H](Cc1ccc(O)cc1)c1ccc(O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),239.274
MW Monoisotopic(RDKit),239.094628656
MolLogP(RDKit),2.94768
XLogP(SDF),
XLogP(CDK),2.407
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),64.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.865034581106281
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,14087.91664827418
qed,0.8650345811062807
Chi0,12.957819157813608
Chi1,8.685871848001627
TPSA,64.25
Chi0n,9.744899990393057
Chi0v,9.744899990393057
Chi1n,5.652706753588538
Chi1v,5.652706753588538
Chi2n,4.1437888511583
Chi2v,4.1437888511583
Chi3n,2.8274605874221463
Chi3v,2.8274605874221463
Chi4n,1.8123928833875314
Chi4v,1.8123928833875314
MolMR,68.27160000000003
MolWt,239.274
fr_SH,0
Kappa1,11.99932944518921
Kappa2,5.240090939555072
Kappa3,2.80277035823549
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,552.5426273315882
MolLogP,2.947680000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1727838753877213
SMR_VSA1,10.213054789681411
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,12.338727669087403
SMR_VSA6,0.0
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
