DLiP-ID,I0000R
DLiP-Mol-ID,27691
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H24N4O5/c1-12(21)18-22-11-16(29-18)19(26)24-9-5-8-15(24)17(25)23-14(20(27)28)10-13-6-3-2-4-7-13/h2-4,6-7,11-12,14-15H,5,8-10,21H2,1H3,(H,23,25)(H,27,28)/t12-,14-,15-/m0/s1"
Standard Inchi Key(RDKit),AISXSSFTYZUDTB-QEJZJMRPSA-N
Canonical SMILES(RDKit),C[C@H](N)c1ncc(C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)C(=O)O)o1
SMILES(SDF),
MW(SDF),
MW(RDKit),400.435
MW Monoisotopic(RDKit),400.174669868
MolLogP(RDKit),1.111
XLogP(SDF),
XLogP(CDK),-1.962
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),138.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.632559221170915
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,4114384.925347463
qed,0.6325592211709155
Chi0,20.965890847321376
Chi1,13.863081100704113
TPSA,138.76
Chi0n,16.07656376499778
Chi0v,16.07656376499778
Chi1n,9.458859514461738
Chi1v,9.458859514461738
Chi2n,7.097132280106202
Chi2v,7.097132280106202
Chi3n,4.837431612749945
Chi3v,4.837431612749945
Chi4n,3.338698029638721
Chi4v,3.338698029638721
MolMR,102.87640000000005
MolWt,400.4350000000001
fr_SH,0
Kappa1,20.532104963511205
Kappa2,8.868281104012528
Kappa3,4.804651093454183
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,880.0065345478257
MolLogP,1.111000000000001
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6908293711516018
SMR_VSA1,23.90728988410952
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,5.733667477162185
SMR_VSA5,44.311724555912534
SMR_VSA6,6.544756405912575
SMR_VSA7,53.74310174651847
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
