DLiP-ID,J100C2
DLiP-Mol-ID,37136
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N2O5S2/c1-29-15-7-9-16(10-8-15)31(27,28)24-20-12-11-19(17-5-3-4-6-18(17)20)23-21(22(25)26)13-14-30-2/h3-12,21,23-24H,13-14H2,1-2H3,(H,25,26)/t21-/m1/s1"
Standard Inchi Key(RDKit),BKAZAPIUGIFMFZ-OAQYLSRUSA-N
Canonical SMILES(RDKit),COc1ccc(S(=O)(=O)Nc2ccc(N[C@H](CCSC)C(=O)O)c3ccccc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),460.577
MW Monoisotopic(RDKit),460.112663868
MolLogP(RDKit),4.2674
XLogP(SDF),
XLogP(CDK),4.421
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.414985233874496
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,7739206.935400601
qed,0.41498523387449593
Chi0,22.43251065250176
Chi1,14.85170373530399
TPSA,104.73
Chi0n,17.16176986174212
Chi0v,18.79476302359757
Chi1n,9.523608063945572
Chi1v,12.400618161657317
Chi2n,6.803930418306976
Chi2v,9.47193121936998
Chi3n,4.776609824264599
Chi3v,6.801970284051507
Chi4n,3.153290386051146
Chi4v,4.704446748994032
MolMR,125.79600000000003
MolWt,460.5770000000002
fr_SH,0
Kappa1,22.768025743308456
Kappa2,9.931255957122023
Kappa3,5.420501234215277
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1164.23974634527
MolLogP,4.267400000000003
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9392196665131434
SMR_VSA1,23.05572451704151
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,17.358145927591746
SMR_VSA6,29.157303799994146
SMR_VSA7,60.6636706846161
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
