DLiP-ID,C001JX
DLiP-Mol-ID,32485
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13N3OS/c1-19-12-7-5-11(6-8-12)13-10-20-15(17-13)18-14-4-2-3-9-16-14/h2-10H,1H3,(H,16,17,18)"
Standard Inchi Key(RDKit),AFUHQKWBXCCDKC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2csc(Nc3ccccn3)n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),283.356
MW Monoisotopic(RDKit),283.077933036
MolLogP(RDKit),3.9573
XLogP(SDF),
XLogP(CDK),3.461
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),47.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.787046722891976
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,76783.50470208055
qed,0.7870467228919756
Chi0,13.7862462825598
Chi1,9.8476678905501
TPSA,47.04
Chi0n,10.907076194634277
Chi0v,11.723572775562003
Chi1n,6.129935598555885
Chi1v,7.009588409810779
Chi2n,4.106378075493188
Chi2v,4.964480927351206
Chi3n,2.789862791533143
Chi3v,3.5475838583378025
Chi4n,1.771778493569292
Chi4v,2.498373748717653
MolMR,81.62170000000002
MolWt,283.356
fr_SH,0
Kappa1,12.624573094543939
Kappa2,5.7094465487025845
Kappa3,2.777653780614121
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,679.8530635369506
MolLogP,3.9573000000000027
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.7879713843955956
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,12.426586145283864
SMR_VSA7,54.04147582131026
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,120.65360029144107
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,0.0
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,6.06636706846161
PEOE_VSA7,36.39820241076966
PEOE_VSA8,17.140357833775987
PEOE_VSA9,12.803725536125995
RingCount,3
SMR_VSA10,22.2862071356091
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,283.077933036
NumHDonors,1
PEOE_VSA10,11.567374611118932
PEOE_VSA11,5.131558479839333
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,17.07775458317195
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,54.04147582131026
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,27.95631257750372
EState_VSA5,0.0
