DLiP-ID,T001VL
DLiP-Mol-ID,17799
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H21ClN2O5/c25-19-10-8-18(9-11-19)24(32-15-3-14-28)22-5-2-1-4-21(22)23(29)26(24)16-17-6-12-20(13-7-17)27(30)31/h1-2,4-13,28H,3,14-16H2"
Standard Inchi Key(RDKit),GLFIMTCZHOPZNZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(OCCCO)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),452.894
MW Monoisotopic(RDKit),452.113899452
MolLogP(RDKit),4.5043
XLogP(SDF),
XLogP(CDK),4.743
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),92.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.308265337561819
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,20463944.408015892
qed,0.3082653375618195
Chi0,22.71696770287794
Chi1,15.468399471222456
TPSA,92.91
Chi0n,17.109228776386256
Chi0v,17.865157722404714
Chi1n,10.127968028391749
Chi1v,10.505932501400975
Chi2n,7.436971321190349
Chi2v,7.873407101662334
Chi3n,5.484570235663123
Chi3v,5.736546551002609
Chi4n,3.998249431420018
Chi4v,4.124237589089759
MolMR,119.29870000000004
MolWt,452.8940000000001
fr_SH,0
Kappa1,21.952593341695227
Kappa2,9.079289131017115
Kappa3,3.8608960013054667
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
