DLiP-ID,I000EB
DLiP-Mol-ID,28285
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H28N6O4/c1-14-13-28(21-16-7-5-6-8-17(16)26-27-21)9-10-29(14)23(31)15(2)33-20-12-25-18(22(30)24-3)11-19(20)32-4/h5-8,11-12,14-15H,9-10,13H2,1-4H3,(H,24,30)(H,26,27)/t14-,15+/m1/s1"
Standard Inchi Key(RDKit),GWUMOYRYGZWMSL-CABCVRRESA-N
Canonical SMILES(RDKit),CNC(=O)c1cc(OC)c(O[C@@H](C)C(=O)N2CCN(c3n[nH]c4ccccc34)C[C@H]2C)cn1
SMILES(SDF),
MW(SDF),
MW(RDKit),452.515
MW Monoisotopic(RDKit),452.217203376
MolLogP(RDKit),1.8307
XLogP(SDF),
XLogP(CDK),2.508
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),112.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.586705162492135
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,36152531.41874692
qed,0.5867051624921347
Chi0,23.534804948073717
Chi1,15.922253953220075
TPSA,112.67999999999999
Chi0n,19.161970040931937
Chi0v,19.161970040931937
Chi1n,10.838561834493827
Chi1v,10.838561834493827
Chi2n,7.97907262449901
Chi2v,7.97907262449901
Chi3n,5.823005673320049
Chi3v,5.823005673320049
Chi4n,4.066467356522134
Chi4v,4.066467356522134
MolMR,123.75090000000002
MolWt,452.5150000000001
fr_SH,0
Kappa1,22.37665600697753
Kappa2,9.352420398567373
Kappa3,4.409879754118024
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1162.81405856678
MolLogP,1.830699999999999
NOCount,10
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.427022750355684
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,25.39804047240609
SMR_VSA4,0.0
SMR_VSA5,25.99328161627751
SMR_VSA6,38.69164847254293
SMR_VSA7,42.22260690876959
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
