DLiP-ID,C100PJ
DLiP-Mol-ID,35965
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12N4O2S/c1-22-14-7-3-5-12(9-14)18-10-15(16-17-18)11-4-2-6-13(8-11)19(20)21/h2-10H,1H3"
Standard Inchi Key(RDKit),OVPFPLNOPGBOJH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CSc1cccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),312.354
MW Monoisotopic(RDKit),312.068096624
MolLogP(RDKit),3.5644
XLogP(SDF),
XLogP(CDK),4.113
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),73.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.418142166380333
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,171947.4144445556
qed,0.4181421663803329
Chi0,15.526733258565956
Chi1,10.66903509559602
TPSA,73.85
Chi0n,11.709751676098056
Chi0v,12.526248257025783
Chi1n,6.487949635049656
Chi1v,7.7126945064412435
Chi2n,4.557269825920582
Chi2v,5.436922637175478
Chi3n,3.1639885570827526
Chi3v,3.8893269715594987
Chi4n,2.0540650396427234
Chi4v,2.507312362873725
MolMR,85.23040000000002
MolWt,312.35400000000004
fr_SH,0
Kappa1,14.274965688863567
