DLiP-ID,C002VE
DLiP-Mol-ID,32845
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H20O6/c1-3-5-11-8-13(16(21)10-14(11)19)15(20)9-12-6-7-17(24-12)18(22)23-4-2/h6-8,10,19,21H,3-5,9H2,1-2H3"
Standard Inchi Key(RDKit),QTTFMEHZDLTCDR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCc1cc(C(=O)Cc2ccc(C(=O)OCC)o2)c(O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),332.352
MW Monoisotopic(RDKit),332.12598836
MolLogP(RDKit),3.2454
XLogP(SDF),
XLogP(CDK),3.373
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),96.97
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.596578042901231
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,243692.19391669193
qed,0.5965780429012308
Chi0,17.689869965382485
Chi1,11.45592745803129
TPSA,96.97000000000001
Chi0n,13.665248554360064
Chi0v,13.665248554360064
Chi1n,7.796767331309557
Chi1v,7.796767331309557
Chi2n,5.33445172885921
