DLiP-ID,C001EB
DLiP-Mol-ID,32244
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H9Cl2N3O/c10-6-2-1-3-7(11)5(6)4-8(15)14-9(12)13/h1-3H,4H2,(H4,12,13,14,15)"
Standard Inchi Key(RDKit),INJOMKTZOLKMBF-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),246.097
MW Monoisotopic(RDKit),245.012267268
MolLogP(RDKit),1.54557
XLogP(SDF),
XLogP(CDK),2.198
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),78.97
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.546296157652364
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1714.7791084186072
qed,0.5462961576523643
Chi0,11.422285251880869
Chi1,7.002907755397975
TPSA,78.97
Chi0n,7.680685094427369
Chi0v,9.192542986464279
Chi1n,4.071887469878812
Chi1v,4.827816415897266
Chi2n,2.8388402400933606
Chi2v,3.653240493574572
Chi3n,1.6731103600028048
Chi3v,2.3813301537593277
Chi4n,1.056171808707462
Chi4v,1.5872471111294755
MolMR,60.22280000000001
MolWt,246.097
fr_SH,0
Kappa1,11.812780203784571
Kappa2,4.999959064613898
Kappa3,3.416335285841418
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,386.0939721751527
MolLogP,1.5455700000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.8039049148872115
SMR_VSA1,4.794537184071822
SMR_VSA2,5.409283605791522
SMR_VSA3,5.316788604006331
SMR_VSA4,5.733667477162185
SMR_VSA5,6.4208216229260096
SMR_VSA6,0.0
SMR_VSA7,33.80781932456448
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,96.86938789637945
NHOHCount,4
PEOE_VSA1,5.733667477162185
PEOE_VSA2,15.520609393869673
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.268246848926644
PEOE_VSA7,17.696185628620217
PEOE_VSA8,10.045266627482652
PEOE_VSA9,6.4208216229260096
RingCount,1
SMR_VSA10,35.06861407856037
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,245.012267268
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,5.959554568743835
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,11.050456081168516
SlogP_VSA2,11.866734298095341
SlogP_VSA3,11.21535880699783
