DLiP-ID,T005YF
DLiP-Mol-ID,23217
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H22N4O2S/c1-11(19-2)16(23)22-18-21-15-13(8-9-14(15)25-18)17(24)20-10-12-6-4-3-5-7-12/h3-7,11,13,19H,8-10H2,1-2H3,(H,20,24)(H,21,22,23)/t11-,13?/m0/s1"
Standard Inchi Key(RDKit),SNNNQQHQKSMHBH-AMGKYWFPSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)Nc1nc2c(s1)CCC2C(=O)NCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),358.467
MW Monoisotopic(RDKit),358.146346944
MolLogP(RDKit),2.0357
XLogP(SDF),
XLogP(CDK),0.531
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),83.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.737854318617311
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,670646.1673675417
qed,0.7378543186173105
Chi0,17.811190308942127
Chi1,12.07971869811898
TPSA,83.12
Chi0n,14.334730694778575
Chi0v,15.151227275706301
Chi1n,8.375353048763206
Chi1v,9.191849629690932
