DLiP-ID,C000VP
DLiP-Mol-ID,31442
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C14H8N2O4/c17-14-11-6-1-2-7-12(11)15-13(20-14)9-4-3-5-10(8-9)16(18)19/h1-8H
Standard Inchi Key(RDKit),WKYQIWUAPDQQRV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1oc(-c2cccc([N+](=O)[O-])c2)nc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),268.228
MW Monoisotopic(RDKit),268.048406736
MolLogP(RDKit),2.7632
XLogP(SDF),
XLogP(CDK),3.408
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),86.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.526501654942568
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,47813.73690179924
qed,0.526501654942568
Chi0,14.11251969619286
Chi1,9.647867045540844
TPSA,86.24
Chi0n,10.146222506372377
Chi0v,10.146222506372377
Chi1n,5.797058674851388
Chi1v,5.797058674851388
Chi2n,4.1310627060195495
Chi2v,4.1310627060195495
Chi3n,2.8392558658174334
Chi3v,2.8392558658174334
Chi4n,1.8947300486730378
Chi4v,1.8947300486730378
MolMR,72.36940000000003
MolWt,268.228
fr_SH,0
Kappa1,12.036461185363994
Kappa2,4.580416615360405
Kappa3,2.0296270174624205
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,870.1769441850221
MolLogP,2.7632000000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.2203489945829102
SMR_VSA1,9.340461985871018
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,69.06537831960826
SMR_VSA8,0.0
SMR_VSA9,11.454175413722904
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,112.00912448479534
NHOHCount,0
PEOE_VSA1,4.417150937053347
PEOE_VSA2,10.114318268765572
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,18.19910120538483
PEOE_VSA8,17.696185628620217
PEOE_VSA9,15.82623598089873
RingCount,3
SMR_VSA10,16.59031120676462
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,268.048406736
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.890723922025908
PEOE_VSA13,5.687386274683562
PEOE_VSA14,5.625586319077987
SlogP_VSA1,5.625586319077987
SlogP_VSA2,9.90728956976488
SlogP_VSA3,0.0
