DLiP-ID,P0009V
DLiP-Mol-ID,24433
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25N3O3/c1-26(2)15-16-7-9-17(10-8-16)24-20-12-11-19(25-23(20)27-3)18-5-4-6-21-22(18)29-14-13-28-21/h4-12,24H,13-15H2,1-3H3"
Standard Inchi Key(RDKit),MJHHFDJNRRCUOB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1nc(-c2cccc3c2OCCO3)ccc1Nc1ccc(CN(C)C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.471
MW Monoisotopic(RDKit),391.18959166
MolLogP(RDKit),4.3336
XLogP(SDF),
XLogP(CDK),3.757
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.674870097558628
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KRAS/SOS1
Common Target Pref Name,KRAS/SOS1
RDKit Descriptors
Ipc,5136963.203537534
qed,0.6748700975586277
Chi0,20.216967702877945
Chi1,14.135361590784807
TPSA,55.85
Chi0n,16.936644828657784
Chi0v,16.936644828657784
Chi1n,9.585460681884442
Chi1v,9.585460681884442
Chi2n,7.142792321150018
Chi2v,7.142792321150018
Chi3n,4.627526475107793
Chi3v,4.627526475107793
Chi4n,3.3307566281396825
Chi4v,3.3307566281396825
MolMR,114.33070000000005
MolWt,391.47100000000006
fr_SH,0
Kappa1,19.083232514177695
Kappa2,8.407119199066582
Kappa3,4.273362732219929
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,987.1582744457925
MolLogP,4.333600000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.592322633296119
SMR_VSA1,14.210588861400147
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,39.735694039664075
SMR_VSA7,60.160755107851486
SMR_VSA8,0.0
SMR_VSA9,28.636391489548636
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,170.59939258775404
NHOHCount,1
PEOE_VSA1,24.427287196256955
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,56.05699786782103
PEOE_VSA8,17.795594172293132
PEOE_VSA9,12.803725536125995
RingCount,4
SMR_VSA10,11.374772549367124
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,391.1895916600001
NumHDonors,1
PEOE_VSA10,18.9011502037094
PEOE_VSA11,11.49902366656781
PEOE_VSA12,5.879988336435371
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,19.527377465406477
SlogP_VSA2,44.302793687455434
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,19.09375226546121
EState_VSA4,40.67593210839296
EState_VSA5,5.563451491696996
EState_VSA6,7.109797541277533
EState_VSA7,30.33183534230805
