DLiP-ID,C001HW
DLiP-Mol-ID,32393
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H10N6S2/c1-20-14(17-18-19-20)22-13-11-10(9-5-3-2-4-6-9)7-21-12(11)15-8-16-13/h2-8H,1H3"
Standard Inchi Key(RDKit),HIPMWEIBNDUPSH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1nnnc1Sc1ncnc2scc(-c3ccccc3)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),326.41
MW Monoisotopic(RDKit),326.04083632
MolLogP(RDKit),3.033
XLogP(SDF),
XLogP(CDK),2.933
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),69.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.539030977589572
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,270176.3351622204
qed,0.5390309775895721
Chi0,14.940946820939052
Chi1,10.826499840494925
TPSA,69.38
Chi0n,11.541230038254858
Chi0v,13.17422320011031
Chi1n,6.505471999203278
Chi1v,8.201621391385899
Chi2n,4.561505365577803
Chi2v,6.375579065404851
Chi3n,3.1894740387020204
Chi3v,5.107151469362901
Chi4n,2.14939464072005
Chi4v,3.9573367927108323
MolMR,85.77200000000002
MolWt,326.41
fr_SH,0
Kappa1,13.350352640370277
Kappa2,5.467355297240855
Kappa3,2.257421507920249
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,6
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,930.8287953984942
MolLogP,3.0330000000000013
NOCount,6
fr_Ar_N,6
fr_COO2,0
fr_urea,0
BalabanJ,1.885073755731592
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,30.175211976650374
SMR_VSA4,7.04767198267719
SMR_VSA5,10.182396460489947
SMR_VSA6,0.0
SMR_VSA7,42.0392181875385
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.77840399108993
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,14.6497599770396
PEOE_VSA4,0.0
