DLiP-ID,T000XY
DLiP-Mol-ID,16707
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H33N3O5/c1-5-14-29(24(31)16-25(32)33)26-17(2)15-23(20-6-10-21(28)11-7-20)30(27(26)34)18(3)19-8-12-22(35-4)13-9-19/h6-13,18,23H,5,14-16,28H2,1-4H3,(H,32,33)/t18-,23+/m0/s1"
Standard Inchi Key(RDKit),CRYKFAHXDBDCDF-FDDCHVKYSA-N
Canonical SMILES(RDKit),CCCN(C(=O)CC(=O)O)C1=C(C)C[C@H](c2ccc(N)cc2)N([C@@H](C)c2ccc(OC)cc2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),479.577
MW Monoisotopic(RDKit),479.242021156
MolLogP(RDKit),4.2993
XLogP(SDF),
XLogP(CDK),3.358
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),113.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.409549102724933
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,43069313.53303398
qed,0.40954910272493344
Chi0,25.69794165489025
Chi1,16.67114151319456
TPSA,113.16999999999999
Chi0n,20.653914034187405
Chi0v,20.653914034187405
Chi1n,11.713922934398802
Chi1v,11.713922934398802
Chi2n,8.792973076696176
Chi2v,8.792973076696176
Chi3n,6.333989601847984
Chi3v,6.333989601847984
Chi4n,4.572306202230924
Chi4v,4.572306202230924
MolMR,133.42419999999996
MolWt,479.5770000000002
fr_SH,0
Kappa1,25.806380475211842
Kappa2,11.07687998812889
Kappa3,5.6453555925507946
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1108.6415828875204
MolLogP,4.299300000000003
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0966561718697365
SMR_VSA1,24.22700190085622
