DLiP-ID,T004TT
DLiP-Mol-ID,21475
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C6H4N2S/c1-2-4-6-5(3-1)7-9-8-6/h1-4H
Standard Inchi Key(RDKit),PDQRQJVPEFGVRK-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2nsnc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),136.179
MW Monoisotopic(RDKit),136.009519128
MolLogP(RDKit),1.6913
XLogP(SDF),
XLogP(CDK),2.209
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),25.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),9
QED Weighted(RDKit),0.550428797024282
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,254.268989977729
qed,0.5504287970242819
Chi0,6.104448006685086
Chi1,4.4663264951887856
TPSA,25.78
Chi0n,4.612076558222283
Chi0v,5.428573139150009
Chi1n,2.6397122363596948
Chi1v,3.3700089796999166
Chi2n,1.7529381788128655
Chi2v,2.2813858666685216
Chi3n,1.1600778505637996
Chi3v,1.716769863262292
Chi4n,0.7269283109829273
Chi4v,1.2524587396020477
MolMR,37.415000000000006
MolWt,136.179
fr_SH,0
Kappa1,4.8760090845015265
Kappa2,1.7717137779936198
Kappa3,0.6950643341770261
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,285.0356462164198
MolLogP,1.6912999999999998
NOCount,2
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.9546597902851044
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,8.747079962832899
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,24.26546827384644
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,56.474906861427506
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,8.747079962832899
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,12.13273413692322
PEOE_VSA8,0.0
PEOE_VSA9,11.728187345198613
RingCount,2
SMR_VSA10,22.761588780431133
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,136.009519128
NumHDonors,0
PEOE_VSA10,11.033401435232523
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
