DLiP-ID,T007LY
DLiP-Mol-ID,25765
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H25N3O6/c28-23(29)12-17(16-4-6-20-21(11-16)32-14-31-20)10-19-13-22(27-33-19)30-9-7-18-5-3-15-2-1-8-25-24(15)26-18/h3-6,11,13,17H,1-2,7-10,12,14H2,(H,25,26)(H,28,29)"
Standard Inchi Key(RDKit),YGOKSIVHHLSPET-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(Cc1cc(OCCc2ccc3c(n2)NCCC3)no1)c1ccc2c(c1)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),451.479
MW Monoisotopic(RDKit),451.17433552
MolLogP(RDKit),3.5789
XLogP(SDF),
XLogP(CDK),3.1
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),115.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.503437926999772
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,61819992.536542125
qed,0.5034379269997717
Chi0,22.622745096813755
Chi1,16.13616292858424
TPSA,115.94000000000001
Chi0n,18.08118837263895
Chi0v,18.08118837263895
Chi1n,11.062653918693147
Chi1v,11.062653918693147
Chi2n,8.182182437557346
Chi2v,8.182182437557346
Chi3n,5.833930386007939
Chi3v,5.833930386007939
Chi4n,4.155046343058894
Chi4v,4.155046343058894
MolMR,118.01250000000003
MolWt,451.47900000000027
fr_SH,0
Kappa1,21.114435524902483
Kappa2,9.396104532347918
Kappa3,5.023406880534185
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1144.9782797352739
MolLogP,3.5789000000000026
NOCount,9
fr_Ar_N,2
fr_COO2,1
