DLiP-ID,C100MA
DLiP-Mol-ID,30959
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H21N3O5S/c1-15-8-9-20(16(2)11-15)26-22(29)14-28-23(30)21(34-25(28)33)13-19-7-4-10-27(19)18-6-3-5-17(12-18)24(31)32/h3-13H,14H2,1-2H3,(H,26,29)(H,31,32)/b21-13-"
Standard Inchi Key(RDKit),TYNCKJHZTHKMLM-BKUYFWCQSA-N
Canonical SMILES(RDKit),Cc1ccc(NC(=O)CN2C(=O)S/C(=C\c3cccn3-c3cccc(C(=O)O)c3)C2=O)c(C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.526
MW Monoisotopic(RDKit),475.120191772
MolLogP(RDKit),4.46734
XLogP(SDF),
XLogP(CDK),3.309
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),108.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.509510274880039
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,46295991.252103925
qed,0.509510274880039
Chi0,24.405048436076804
Chi1,16.223254446010255
TPSA,108.71000000000001
Chi0n,18.440841981091623
Chi0v,19.25733856201935
Chi1n,10.362852053708366
Chi1v,11.17934863463609
Chi2n,7.792944262062609
Chi2v,8.786135665423709
Chi3n,5.261854859957734
Chi3v,6.1692465832620424
Chi4n,3.593428518579703
Chi4v,4.416385275756492
MolMR,129.95100000000002
MolWt,475.52600000000024
fr_SH,0
Kappa1,23.061802670870712
Kappa2,9.40165901420201
Kappa3,4.789327883281311
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1358.0858875316271
MolLogP,4.467340000000003
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.5173080759703406
SMR_VSA1,24.284676131127995
SMR_VSA2,0.0
SMR_VSA3,9.467009378641833
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,11.861545009918906
SMR_VSA7,88.08356617159708
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,199.42689631463833
NHOHCount,2
PEOE_VSA1,14.990415646638391
PEOE_VSA2,19.28352128306594
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.762552697081826
PEOE_VSA7,73.64703335807289
PEOE_VSA8,23.26554411582866
PEOE_VSA9,10.468588005587042
RingCount,4
SMR_VSA10,46.548167790735704
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,475.120191772
NumHDonors,2
PEOE_VSA10,6.544756405912575
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,11.146391442523793
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,44.14116963922226
SlogP_VSA3,9.589074368143644
SlogP_VSA4,13.847474399381248
SlogP_VSA5,27.178819654011267
SlogP_VSA6,65.69928370165762
SlogP_VSA7,0.0
SlogP_VSA8,11.763406381517443
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,29.567632865739718
EState_VSA2,10.468588005587042
EState_VSA3,17.068700544215584
EState_VSA4,27.78869766363558
EState_VSA5,12.13273413692322
EState_VSA6,47.17179866854636
EState_VSA7,25.980208536304467
EState_VSA8,5.316788604006331
EState_VSA9,0.0
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,11.761884949391115
