DLiP-ID,T005ZB
DLiP-Mol-ID,23249
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H20Cl2N2O6S/c21-13-9-14(22)11-16(10-13)31(29,30)24-7-1-2-18(24)19(26)23-17(20(27)28)8-12-3-5-15(25)6-4-12/h3-6,9-11,17-18,25H,1-2,7-8H2,(H,23,26)(H,27,28)/t17-,18-/m0/s1"
Standard Inchi Key(RDKit),SPYRCTMYBNFJRX-ROUUACIJSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),487.361
MW Monoisotopic(RDKit),486.04191272
MolLogP(RDKit),2.6642
XLogP(SDF),
XLogP(CDK),3.082
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),124.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.551933005989795
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6825274.103458525
qed,0.5519330059897948
Chi0,22.75878406613483
Chi1,14.573424531749192
TPSA,124.00999999999999
Chi0n,16.16339073229047
Chi0v,18.491745205255107
Chi1n,9.367378067057606
Chi1v,11.5633703418767
Chi2n,7.148916256115723
Chi2v,9.912342417932088
Chi3n,4.939748545631526
Chi3v,7.262119720365847
Chi4n,3.43844718827236
Chi4v,5.822085891859606
MolMR,114.75310000000002
MolWt,487.3610000000002
fr_SH,0
