DLiP-ID,C000DR
DLiP-Mol-ID,30499
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H12O10/c1-5-2-8(21)6(3-19)13-9(5)16(23)27-14-7(4-20)12(22)10-11(15(14)26-13)18(25)28-17(10)24/h2-3,18,20-22,25H,4H2,1H3"
Standard Inchi Key(RDKit),QQTKVXCQLZIJPP-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(CO)c(O)c3c(c1O2)C(O)OC3=O
SMILES(SDF),
MW(SDF),
MW(RDKit),388.284
MW Monoisotopic(RDKit),388.043046584
MolLogP(RDKit),1.19722
XLogP(SDF),
XLogP(CDK),1.238
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),159.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.334214966075217
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1904386.6428818258
qed,0.3342149660752169
Chi0,20.32554445577405
Chi1,13.294131415482818
TPSA,159.82
Chi0n,14.177501713538437
Chi0v,14.177501713538437
Chi1n,7.9301677176510355
Chi1v,7.9301677176510355
Chi2n,6.129688649640957
Chi2v,6.129688649640957
Chi3n,4.560849747426106
Chi3v,4.560849747426106
Chi4n,3.2807711430526676
Chi4v,3.2807711430526676
MolMR,87.66870000000002
MolWt,388.2840000000001
fr_SH,0
Kappa1,17.7673787001735
Kappa2,5.940347116409847
Kappa3,2.185465065043171
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1084.9946214079453
MolLogP,1.1972199999999997
NOCount,10
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.113622178481884
SMR_VSA1,49.02030999297843
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.820645893538757
SMR_VSA6,0.0
SMR_VSA7,39.447076018643585
SMR_VSA8,0.0
SMR_VSA9,28.747559166419524
fr_Al_OH,2
fr_Ar_NH,0
fr_Ar_OH,2
