DLiP-ID,T002NZ
DLiP-Mol-ID,19022
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N2O4/c1-25-14-8-6-12(7-9-14)18(22)21-17(19(23)24)10-13-11-20-16-5-3-2-4-15(13)16/h2-9,11,17,20H,10H2,1H3,(H,21,22)(H,23,24)/t17-/m0/s1"
Standard Inchi Key(RDKit),IUJUDKHYWKXAIY-KRWDZBQOSA-N
Canonical SMILES(RDKit),COc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),338.363
MW Monoisotopic(RDKit),338.126657056
MolLogP(RDKit),2.6022
XLogP(SDF),
XLogP(CDK),2.803
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.644142910915545
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,641991.0601118677
qed,0.6441429109155449
Chi0,17.811190308942127
Chi1,12.079718698118981
TPSA,91.42
Chi0n,13.652567939974356
Chi0v,13.652567939974356
Chi1n,7.80944721758157
Chi1v,7.80944721758157
Chi2n,5.656408248137164
Chi2v,5.656408248137164
Chi3n,4.054585229962946
Chi3v,4.054585229962946
Chi4n,2.704460928917673
Chi4v,2.704460928917673
MolMR,93.88670000000005
MolWt,338.3630000000001
fr_SH,0
Kappa1,16.573336707910446
Kappa2,7.086445319700724
Kappa3,3.630762574364521
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,899.1879091626163
MolLogP,2.6022
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.7649640622930993
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,7.109797541277533
SMR_VSA7,65.85468310269995
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,143.984718215692
NHOHCount,3
PEOE_VSA1,20.14415747359429
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,35.89528683400505
PEOE_VSA8,29.084041618317137
PEOE_VSA9,7.109797541277533
RingCount,3
SMR_VSA10,22.779409949384416
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,338.12665705599994
NumHDonors,3
PEOE_VSA10,11.791352662431866
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,35.11862930351676
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,54.727780119305955
SlogP_VSA7,0.0
