DLiP-ID,T004RZ
DLiP-Mol-ID,21100
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19N5O3/c21-19(26)23-15-9-4-5-10-16(15)24-20(27)25-18-17(11-6-12-22-18)28-13-14-7-2-1-3-8-14/h1-12H,13H2,(H3,21,23,26)(H2,22,24,25,27)"
Standard Inchi Key(RDKit),OYSRKXLVHHJWSH-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)Nc1ccccc1NC(=O)Nc1ncccc1OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),377.404
MW Monoisotopic(RDKit),377.148789468
MolLogP(RDKit),3.7952
XLogP(SDF),
XLogP(CDK),1.959
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),118.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.522367297797523
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,2347073.6547595877
qed,0.5223672977975228
Chi0,19.769373945685235
Chi1,13.614193540729628
TPSA,118.37
Chi0n,14.884618747543234
Chi0v,14.884618747543234
Chi1n,8.468457455949899
Chi1v,8.468457455949899
Chi2n,5.738377359205292
Chi2v,5.738377359205292
Chi3n,3.6729230129879578
Chi3v,3.6729230129879578
Chi4n,2.431171151464747
Chi4v,2.431171151464747
MolMR,107.3005
MolWt,377.4040000000001
fr_SH,0
Kappa1,18.713101556907564
Kappa2,9.038245774605118
Kappa3,5.212610942715808
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,962.8196872712629
MolLogP,3.795200000000002
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,2
BalabanJ,1.6704371465354364
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,6.606881964512918
SMR_VSA6,15.950365812018994
SMR_VSA7,78.49033281638779
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.28613253319259
NHOHCount,5
PEOE_VSA1,21.104107638974895
PEOE_VSA2,5.316788604006331
PEOE_VSA3,14.573052889090853
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,29.828919765543436
PEOE_VSA8,6.196843571613076
PEOE_VSA9,11.374772549367124
RingCount,3
SMR_VSA10,29.254864351878297
