DLiP-ID,T005OK
DLiP-Mol-ID,22778
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H32N4O4/c1-4-17(25-20(29)16-7-5-15(6-8-16)19(23)24)22(2,3)21(30)26-11-9-14(10-12-26)13-18(27)28/h5-8,14,17H,4,9-13H2,1-3H3,(H3,23,24)(H,25,29)(H,27,28)"
Standard Inchi Key(RDKit),RSEPVNVGKQWNDW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(NC(=O)c1ccc(C(=N)N)cc1)C(C)(C)C(=O)N1CCC(CC(=O)O)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),416.522
MW Monoisotopic(RDKit),416.242355504
MolLogP(RDKit),2.21857
XLogP(SDF),
XLogP(CDK),2.099
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),136.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.380370063747074
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2701792.1998364665
qed,0.38037006374707377
Chi0,22.474327015758654
Chi1,14.05578644154415
TPSA,136.57999999999998
Chi0n,17.90326463383817
Chi0v,17.90326463383817
Chi1n,10.323087505695057
Chi1v,10.323087505695057
Chi2n,8.480448186130547
Chi2v,8.480448186130547
Chi3n,5.959066041405404
Chi3v,5.959066041405404
Chi4n,3.9792244627571223
Chi4v,3.9792244627571223
MolMR,114.34110000000007
MolWt,416.5220000000003
fr_SH,0
Kappa1,23.37963171692354
Kappa2,9.73429058553999
Kappa3,5.582979155257525
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,795.8604892112638
MolLogP,2.2185699999999997
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.028115049535124
SMR_VSA1,19.490138947056174
SMR_VSA2,5.409283605791522
SMR_VSA3,10.216698334856808
