DLiP-ID,C004ND
DLiP-Mol-ID,35527
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H21Cl2N3O3/c1-24(14-20(30)31)13-19(16-4-2-5-18(26)12-16)21(15-6-8-17(25)9-7-15)29(22(24)32)23-27-10-3-11-28-23/h2-12,19,21H,13-14H2,1H3,(H,30,31)/t19-,21-,24-/m0/s1"
Standard Inchi Key(RDKit),XGFGRZPAZNTMIS-PTLVVNQVSA-N
Canonical SMILES(RDKit),C[C@@]1(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@H](c2ccc(Cl)cc2)N(c2ncccn2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),470.356
MW Monoisotopic(RDKit),469.095996892
MolLogP(RDKit),5.5262
XLogP(SDF),
XLogP(CDK),4.237
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.39
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.530609173212874
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,14550066.811817901
qed,0.5306091732128746
Chi0,22.880104409694468
Chi1,15.28151274729585
TPSA,83.38999999999999
Chi0n,17.281046970784246
Chi0v,18.792904862821157
Chi1n,10.117836562989616
Chi1v,10.873765509008072
Chi2n,8.217132938206333
Chi2v,9.090004499150304
Chi3n,5.862210696128171
Chi3v,6.349284114255396
Chi4n,4.472488052344366
Chi4v,4.797203664429182
MolMR,122.88080000000002
MolWt,470.35600000000017
fr_SH,0
Kappa1,22.241681418825717
Kappa2,8.883526176146578
Kappa3,4.334385969689953
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1140.7410873418135
MolLogP,5.526200000000004
NOCount,6
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.9391424166622002
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,5.41499046939678
SMR_VSA5,31.725127320852
SMR_VSA6,4.899909730850478
SMR_VSA7,88.16316037025729
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.3822373314119
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,14.48898409899412
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.39108525400209
PEOE_VSA7,47.87955994862805
PEOE_VSA8,28.356859816870198
PEOE_VSA9,17.87765292147075
RingCount,4
SMR_VSA10,41.02670407875488
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,469.0959968920001
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,11.855519010338
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.899909730850478
SlogP_VSA2,26.950969454038475
