DLiP-ID,I000FC
DLiP-Mol-ID,28322
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12O5/c16-10-7-13(19)15(14(20)8-10)12(18)6-5-9-3-1-2-4-11(9)17/h1-8,16-17,19-20H"
Standard Inchi Key(RDKit),HKQJXIALKSCCKD-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C=Cc1ccccc1O)c1c(O)cc(O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),272.256
MW Monoisotopic(RDKit),272.068473484
MolLogP(RDKit),2.4051
XLogP(SDF),
XLogP(CDK),3.082
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),97.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.507802195867285
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,27720.078456874424
qed,0.5078021958672847
Chi0,14.698306133819765
Chi1,9.486071002992368
TPSA,97.99000000000001
Chi0n,10.315904825980704
Chi0v,10.315904825980704
Chi1n,5.741285746323686
Chi1v,5.741285746323686
Chi2n,4.115421341645599
Chi2v,4.115421341645599
Chi3n,2.6789057457411447
Chi3v,2.6789057457411447
Chi4n,1.7270924566637227
Chi4v,1.7270924566637227
MolMR,72.9077
MolWt,272.256
fr_SH,0
Kappa1,13.480935919767346
Kappa2,5.357134883823741
Kappa3,2.7198579377049863
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,665.4083828942402
MolLogP,2.4051000000000013
NOCount,5
fr_Ar_N,0
fr_COO2,0
