DLiP-ID,T004FP
DLiP-Mol-ID,18289
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H15N5O2/c1-2-18-9(17)7-4-3-5-8(6-7)15-11(14)16-10(12)13/h3-6H,2H2,1H3,(H6,12,13,14,15,16)"
Standard Inchi Key(RDKit),NYJGJFBBMAMSMD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)c1cccc(NC(=N)NC(=N)N)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),249.274
MW Monoisotopic(RDKit),249.12257472
MolLogP(RDKit),0.69304
XLogP(SDF),
XLogP(CDK),1.92
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),124.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.306123588082087
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,8124.3454729364
qed,0.3061235880820873
Chi0,13.543605595440512
Chi1,8.524075805453153
TPSA,124.08
Chi0n,9.910354708062403
Chi0v,9.910354708062403
Chi1n,5.264072545885956
Chi1v,5.264072545885956
Chi2n,3.339949907935872
Chi2v,3.339949907935872
Chi3n,1.902711607477105
Chi3v,1.902711607477105
Chi4n,1.2486060092245093
Chi4v,1.2486060092245093
MolMR,68.7977
MolWt,249.27400000000003
fr_SH,0
Kappa1,13.494808813998704
Kappa2,6.235648455418487
Kappa3,4.12438997712008
