DLiP-ID,C004IG
DLiP-Mol-ID,35350
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29ClN4O4/c1-15(2)30-21(20-14-28-26(34-4)29-24(20)33-3)13-19-23(30)22(16-5-7-17(27)8-6-16)31(25(19)32)18-9-11-35-12-10-18/h5-8,13-15,18,22H,9-12H2,1-4H3"
Standard Inchi Key(RDKit),FHLPGBPCEZAARR-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ncc(-c2cc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(C2CCOCC2)C3=O)c(OC)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),496.995
MW Monoisotopic(RDKit),496.187733088
MolLogP(RDKit),4.9208
XLogP(SDF),
XLogP(CDK),4.665
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),78.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.481649450911071
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,124087612.13500662
qed,0.4816494509110712
Chi0,24.68950548645297
Chi1,16.939090705625684
TPSA,78.71
Chi0n,20.324391564317335
Chi0v,21.08032051033579
Chi1n,11.805577865133237
Chi1v,12.183542338142464
Chi2n,9.08195286963451
Chi2v,9.518388650106495
Chi3n,6.748094259331003
Chi3v,7.000070574670488
Chi4n,5.2261079328295565
Chi4v,5.352096090499299
MolMR,132.2525
MolWt,496.99500000000035
fr_SH,0
Kappa1,23.6329940022191
Kappa2,9.508747732521917
Kappa3,4.042598460842008
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1234.8939478631455
MolLogP,4.920800000000005
NOCount,8
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.7129230458418843
SMR_VSA1,19.005126045471968
SMR_VSA2,0.0
SMR_VSA3,19.43496642053625
SMR_VSA4,0.0
SMR_VSA5,44.814640132677155
SMR_VSA6,27.433359011580905
SMR_VSA7,58.3721432059049
SMR_VSA8,0.0
SMR_VSA9,23.147832662567666
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,209.33692015247792
NHOHCount,0
PEOE_VSA1,23.67759824004198
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,50.4516703423151
PEOE_VSA8,36.516922472676164
PEOE_VSA9,42.77619488479394
RingCount,5
SMR_VSA10,17.508119619584022
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,496.187733088
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.879988336435371
PEOE_VSA13,5.907179729351506
PEOE_VSA14,6.010464839586836
SlogP_VSA1,9.473725907600098
SlogP_VSA2,58.81734599061662
SlogP_VSA3,4.736862953800049
SlogP_VSA4,0.0
SlogP_VSA5,60.38816746584346
SlogP_VSA6,36.52867891392113
