DLiP-ID,T000IL
DLiP-Mol-ID,16054
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H27Cl2N3O4/c25-17-4-3-5-18(26)20(17)21(30)28-16-8-6-15(7-9-16)14-19(22(31)32)29-23(33)24(12-13-27)10-1-2-11-24/h3-9,19H,1-2,10-14,27H2,(H,28,30)(H,29,33)(H,31,32)/t19-/m0/s1"
Standard Inchi Key(RDKit),BLIMBMNFPVTNFS-IBGZPJMESA-N
Canonical SMILES(RDKit),NCCC1(C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O)CCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),492.403
MW Monoisotopic(RDKit),491.137861704
MolLogP(RDKit),4.2668
XLogP(SDF),
XLogP(CDK),1.816
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),121.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.416763817829849
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,21768399.52785249
qed,0.4167638178298485
Chi0,24.009860921691388
Chi1,15.752856521598627
TPSA,121.52
Chi0n,18.073787303922465
Chi0v,19.585645195959373
Chi1n,10.837388259847657
Chi1v,11.593317205866112
Chi2n,8.342227639871915
