DLiP-ID,C000BI
DLiP-Mol-ID,30572
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H13N3O2/c1-7-3-4-9(8(2)5-7)13-10-6-11(16)15-12(17)14-10/h3-6H,1-2H3,(H3,13,14,15,16,17)"
Standard Inchi Key(RDKit),DPAXTKOTKRCOSA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(Nc2cc(O)nc(O)n2)c(C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),231.255
MW Monoisotopic(RDKit),231.100776656
MolLogP(RDKit),2.24824
XLogP(SDF),
XLogP(CDK),2.976
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.738409486937122
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6279.745245704903
qed,0.7384094869371222
Chi0,12.41384908344359
Chi1,8.041713895658193
TPSA,78.27
Chi0n,9.598255458758338
Chi0v,9.598255458758338
Chi1n,5.1570249274020865
Chi1v,5.1570249274020865
Chi2n,3.8547593388145893
