DLiP-ID,I0012N
DLiP-Mol-ID,29332
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26N4O/c1-17(29-2)24-15-21(12-14-26-24)28-20-9-7-19(8-10-20)25-13-11-18-16-27-23-6-4-3-5-22(18)23/h3-10,12,14-17,25,27H,11,13H2,1-2H3,(H,26,28)/t17-/m0/s1"
Standard Inchi Key(RDKit),RWSDBJAREAFEEZ-KRWDZBQOSA-N
Canonical SMILES(RDKit),CO[C@@H](C)c1cc(Nc2ccc(NCCc3c[nH]c4ccccc34)cc2)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),386.499
MW Monoisotopic(RDKit),386.210661452
MolLogP(RDKit),5.6685
XLogP(SDF),
XLogP(CDK),3.927
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),61.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.365123761806393
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,7088218.389676035
qed,0.3651237618063932
Chi0,20.053830996061407
Chi1,14.224677988261847
TPSA,61.97
Chi0n,16.775228947802052
Chi0v,16.775228947802052
