DLiP-ID,I000FM
DLiP-Mol-ID,28332
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24N4O2/c1-17(29)30-16-22-14-21(11-13-26-22)28-20-8-6-19(7-9-20)25-12-10-18-15-27-24-5-3-2-4-23(18)24/h2-9,11,13-15,25,27H,10,12,16H2,1H3,(H,26,28)"
Standard Inchi Key(RDKit),HNIBHRJQYPVYBO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)OCc1cc(Nc2ccc(NCCc3c[nH]c4ccccc34)cc2)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),400.482
MW Monoisotopic(RDKit),400.189926008
MolLogP(RDKit),5.0242
XLogP(SDF),
XLogP(CDK),3.622
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),79.04
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.361853323447733
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,10481261.691172872
qed,0.36185332344773274
Chi0,20.760937777247957
Chi1,14.669836433395457
TPSA,79.04
Chi0n,16.81323375026284
Chi0v,16.81323375026284
Chi1n,9.91481576487858
Chi1v,9.91481576487858
Chi2n,7.054735198994821
Chi2v,7.054735198994821
Chi3n,4.811837908246373
Chi3v,4.811837908246373
Chi4n,3.3284827038560083
Chi4v,3.3284827038560083
MolMR,119.9241
MolWt,400.4820000000001
fr_SH,0
Kappa1,19.51356727340965
Kappa2,9.132278903987528
Kappa3,4.968798828125001
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1135.3820287840313
MolLogP,5.024200000000003
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3068243964343391
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,19.951440787129552
SMR_VSA6,17.178333613925236
SMR_VSA7,84.31473731438771
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,174.85556673407078
NHOHCount,3
PEOE_VSA1,20.354418682759917
PEOE_VSA2,9.77851570501903
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,54.44884259385427
PEOE_VSA8,53.82726450496109
PEOE_VSA9,5.693927994848461
RingCount,4
SMR_VSA10,33.934389044083595
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,400.189926008
NumHDonors,3
PEOE_VSA10,6.606881964512918
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
