DLiP-ID,J100AR
DLiP-Mol-ID,37089
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N2O5/c1-4-19(3)24-14-8-6-12(9-16(14)25-19)21-18(22)13-10-20-26-17(13)15-7-5-11(2)23-15/h5-10H,4H2,1-3H3,(H,21,22)"
Standard Inchi Key(RDKit),IAJMZUMJDLTKPO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC1(C)Oc2ccc(NC(=O)c3cnoc3-c3ccc(C)o3)cc2O1
SMILES(SDF),
MW(SDF),
MW(RDKit),354.362
MW Monoisotopic(RDKit),354.121571676
MolLogP(RDKit),4.39272
XLogP(SDF),
XLogP(CDK),3.246
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),86.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.747455199096785
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,1268487.185464407
qed,0.7474551990967854
Chi0,18.311190308942127
Chi1,12.471276891173037
TPSA,86.73
Chi0n,14.659663444143579
Chi0v,14.659663444143579
Chi1n,8.321819018047849
Chi1v,8.321819018047849
Chi2n,6.286017731198632
Chi2v,6.286017731198632
Chi3n,4.274718350912575
Chi3v,4.274718350912575
Chi4n,2.71427617344812
Chi4v,2.71427617344812
MolMR,93.28920000000002
MolWt,354.3620000000001
fr_SH,0
Kappa1,16.259367398907386
Kappa2,5.943187121930801
Kappa3,2.8109720151005693
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,973.9772400823913
MolLogP,4.392720000000003
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5575159495734314
SMR_VSA1,23.208508965698613
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
