DLiP-ID,P000J8
DLiP-Mol-ID,26492
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22N2O2/c1-16-13-22(26)25-21-12-6-11-20(23(21)24-16)18-9-5-10-19(14-18)27-15-17-7-3-2-4-8-17/h2-12,14,16,24H,13,15H2,1H3,(H,25,26)/t16-/m1/s1"
Standard Inchi Key(RDKit),XKIQUMIGIBMUJB-MRXNPFEDSA-N
Canonical SMILES(RDKit),C[C@@H]1CC(=O)Nc2cccc(-c3cccc(OCc4ccccc4)c3)c2N1
SMILES(SDF),
MW(SDF),
MW(RDKit),358.441
MW Monoisotopic(RDKit),358.168127944
MolLogP(RDKit),5.0752
XLogP(SDF),
XLogP(CDK),4.567
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),50.36
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.684066686281095
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,2085210.4257052804
qed,0.6840666862810949
Chi0,18.63961743368832
Chi1,13.18667318580106
TPSA,50.36
Chi0n,15.23626364276596
Chi0v,15.23626364276596
Chi1n,9.154371643918696
Chi1v,9.154371643918696
Chi2n,6.827924723215371
Chi2v,6.827924723215371
Chi3n,4.6142324792459135
Chi3v,4.6142324792459135
Chi4n,3.323623750068343
Chi4v,3.323623750068343
MolMR,108.98340000000002
MolWt,358.441
fr_SH,0
Kappa1,17.159265427270167
Kappa2,7.539547435855737
Kappa3,3.9496728208052407
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,953.6019893949364
MolLogP,5.075200000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6257622993977492
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.993281616277514
SMR_VSA6,10.633577208012662
SMR_VSA7,78.35985631323634
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
