DLiP-ID,C100MC
DLiP-Mol-ID,32323
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H21N3O5S/c1-15-8-9-18(11-16(15)2)26-22(29)14-28-23(30)21(34-25(28)33)13-20-7-4-10-27(20)19-6-3-5-17(12-19)24(31)32/h3-13H,14H2,1-2H3,(H,26,29)(H,31,32)/b21-13-"
Standard Inchi Key(RDKit),KEAFFWMGIPHANE-BKUYFWCQSA-N
Canonical SMILES(RDKit),Cc1ccc(NC(=O)CN2C(=O)S/C(=C\c3cccn3-c3cccc(C(=O)O)c3)C2=O)cc1C
SMILES(SDF),
MW(SDF),
MW(RDKit),475.526
MW Monoisotopic(RDKit),475.120191772
MolLogP(RDKit),4.46734
XLogP(SDF),
XLogP(CDK),3.52
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),108.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.509510274880039
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,46853553.402618304
qed,0.5095102748800391
Chi0,24.405048436076804
Chi1,16.223254446010255
TPSA,108.71000000000001
Chi0n,18.440841981091623
Chi0v,19.25733856201935
Chi1n,10.362852053708366
Chi1v,11.17934863463609
Chi2n,7.773606694765203
Chi2v,8.766798098126303
Chi3n,5.396523643606437
Chi3v,6.303915366910745
Chi4n,3.469543861810272
Chi4v,4.292500618987061
MolMR,129.95100000000002
MolWt,475.52600000000024
fr_SH,0
