DLiP-ID,C003ES
DLiP-Mol-ID,33922
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H12N4S/c1-10-5-4-8-16-13(10)18-14-17-12(9-19-14)11-6-2-3-7-15-11/h2-9H,1H3,(H,16,17,18)"
Standard Inchi Key(RDKit),AUWIYYMLXLLRIY-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccnc1Nc1nc(-c2ccccn2)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),268.345
MW Monoisotopic(RDKit),268.078267384
MolLogP(RDKit),3.65212
XLogP(SDF),
XLogP(CDK),2.609
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),50.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.787376799975396
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,45249.22097552927
qed,0.7873767999753963
Chi0,13.079139501373252
Chi1,9.326499840494924
TPSA,50.7
Chi0n,10.368691230480746
Chi0v,11.185187811408472
Chi1n,5.883343446572792
Chi1v,6.762996257827687
Chi2n,4.046783434683233
