DLiP-ID,C001DE
DLiP-Mol-ID,32195
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H23BrN2O3/c1-4-19-9-5-6-11(19)10-18-16(20)14-13(21-2)8-7-12(17)15(14)22-3/h7-8,11H,4-6,9-10H2,1-3H3,(H,18,20)/t11-/m0/s1"
Standard Inchi Key(RDKit),GUJRSXAPGDDABA-NSHDSACASA-N
Canonical SMILES(RDKit),CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),371.275
MW Monoisotopic(RDKit),370.089204696
MolLogP(RDKit),2.6804
XLogP(SDF),
XLogP(CDK),2.874
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),50.8
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.835602403925724
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,114673.47027996952
qed,0.8356024039257242
Chi0,16.112519696192862
Chi1,10.61692216278033
TPSA,50.80000000000001
Chi0n,13.31750765340239
Chi0v,14.903504192517095
Chi1n,7.546346030139478
Chi1v,8.33934429969683
Chi2n,5.292560920208386
Chi2v,6.1468978193829065
Chi3n,4.126009912569207
Chi3v,4.750462330421457
Chi4n,2.965382735769111
Chi4v,3.457668775361803
MolMR,89.84820000000006
MolWt,371.2750000000001
fr_SH,0
Kappa1,17.089683510700816
Kappa2,7.830920618790326
Kappa3,3.5491669476203653
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,536.3673580305233
MolLogP,2.6804000000000006
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1340668324627172
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,25.807221274690605
SMR_VSA6,33.85386430029279
SMR_VSA7,22.16890514445263
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
