DLiP-ID,C003CM
DLiP-Mol-ID,33844
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H14O2S/c1-5-7(2)6-11(4)9(12)8(3)10(13)14-11/h5-6,12H,1H2,2-4H3/b7-6+/t11-/m1/s1"
Standard Inchi Key(RDKit),SYQNUQSGEWNWKV-XUIVZRPNSA-N
Canonical SMILES(RDKit),C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O
SMILES(SDF),
MW(SDF),
MW(RDKit),210.298
MW Monoisotopic(RDKit),210.071450688
MolLogP(RDKit),2.9828
XLogP(SDF),
XLogP(CDK),2.458
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.711840897794097
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,1082.4555122382078
qed,0.7118408977940974
Chi0,10.930721420318147
Chi1,6.4037013117846655
TPSA,37.3
Chi0n,8.625517495993483
Chi0v,9.44201407692121
Chi1n,4.360252927694075
Chi1v,5.176749508621802
Chi2n,3.562655047254715
Chi2v,4.985644700476555
Chi3n,2.261382272990507
Chi3v,3.4882015405646096
Chi4n,1.3776239643828139
Chi4v,2.5071086212601155
MolMR,60.28580000000002
MolWt,210.29799999999997
fr_SH,0
Kappa1,11.116687116564416
Kappa2,3.6540055218903507
Kappa3,1.7748753177025385
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,352.29903228994385
MolLogP,2.982800000000001
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.1151911149683307
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.518234052289433
SMR_VSA6,0.0
SMR_VSA7,35.63634982906097
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,88.39289779931866
