DLiP-ID,T003LP
DLiP-Mol-ID,20472
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H30N4O5S/c26-19(27)15-31(29,30)25-10-3-17(4-11-25)20(28)23-12-5-21(6-13-23)7-14-24(16-21)18-1-8-22-9-2-18/h1-2,8-9,17H,3-7,10-16H2,(H,26,27)"
Standard Inchi Key(RDKit),LRMUJKMRRPCARV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CS(=O)(=O)N1CCC(C(=O)N2CCC3(CC2)CCN(c2ccncc2)C3)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),450.561
MW Monoisotopic(RDKit),450.19369106
MolLogP(RDKit),1.0269
XLogP(SDF),
XLogP(CDK),0.369
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),111.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.713080442774396
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11372517.031979486
qed,0.7130804427743955
Chi0,22.06226716449868
Chi1,14.779224090232553
TPSA,111.11999999999999
Chi0n,17.649342150005808
Chi0v,18.46583873093353
Chi1n,10.914371317417551
Chi1v,12.523536624943953
Chi2n,9.02553693030719
Chi2v,10.99443841542244
Chi3n,7.104403875065072
Chi3v,8.868089920101507
Chi4n,5.206374501787821
Chi4v,6.468182439840222
MolMR,115.03360000000005
MolWt,450.5610000000003
fr_SH,0
Kappa1,22.010395158419367
Kappa2,8.738936643266053
Kappa3,4.845150344047507
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,906.957597117097
MolLogP,1.026900000000001
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.2717302654900642
SMR_VSA1,23.113398747313287
SMR_VSA2,0.0
SMR_VSA3,14.189104243093919
SMR_VSA4,11.332896515558172
SMR_VSA5,32.10410811463005
SMR_VSA6,49.92130177307271
SMR_VSA7,24.52642128014937
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,182.63018632551027
NHOHCount,1
PEOE_VSA1,14.906346856541662
PEOE_VSA2,14.573052889090853
PEOE_VSA3,12.72301297562517
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,49.651832720950054
PEOE_VSA8,63.26751789954655
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,27.5871624453945
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,450.19369106000005
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,5.752853606746789
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.899909730850478
SlogP_VSA2,84.61130568178916
SlogP_VSA3,19.612365521551226
SlogP_VSA4,11.332896515558172
SlogP_VSA5,32.10410811463005
SlogP_VSA6,24.52642128014937
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,21.74545004810622
EState_VSA2,30.32958905673483
EState_VSA3,12.841643245852019
