DLiP-ID,P000FN
DLiP-Mol-ID,25764
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H24N2O6/c1-5-32-22-9-8-17(15(2)29)14-21(22)18-11-19(24-16(3)34-28(4)26(24)31)13-20(12-18)27-25(30)23-7-6-10-33-23/h6-14H,5H2,1-4H3,(H,27,30)"
Standard Inchi Key(RDKit),STAVPWADWLEVHH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(C(C)=O)cc1-c1cc(NC(=O)c2ccco2)cc(-c2c(C)on(C)c2=O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),460.486
MW Monoisotopic(RDKit),460.163436488
MolLogP(RDKit),5.06732
XLogP(SDF),
XLogP(CDK),3.586
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),103.68
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.386430860699238
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,50520487.51242181
qed,0.38643086069923827
Chi0,24.405048436076804
Chi1,16.278096000876644
TPSA,103.67999999999998
Chi0n,19.299962542176317
Chi0v,19.299962542176317
Chi1n,10.735050107196399
Chi1v,10.735050107196399
Chi2n,7.7556951491167245
Chi2v,7.7556951491167245
Chi3n,5.347249673524696
Chi3v,5.347249673524696
Chi4n,3.7832533649439672
Chi4v,3.7832533649439672
MolMR,127.39270000000003
MolWt,460.4860000000002
fr_SH,0
Kappa1,22.849392781362894
Kappa2,9.266661920037874
Kappa3,4.4278640716981705
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1426.2445806312219
MolLogP,5.067320000000005
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9198101286093332
SMR_VSA1,23.266183195970385
SMR_VSA2,0.0
SMR_VSA3,4.7397843839695915
SMR_VSA4,7.04767198267719
SMR_VSA5,20.771211599071872
SMR_VSA6,11.923670568519249
SMR_VSA7,82.23184995190165
SMR_VSA8,0.0
SMR_VSA9,28.003317800071887
fr_Al_OH,0
