DLiP-ID,T001HK
DLiP-Mol-ID,17189
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H21N5O4S/c30-20(25-9-8-16-4-2-1-3-5-16)14-34-24-28-22-21(26-10-11-27-22)23(31)29(24)13-17-6-7-18-19(12-17)33-15-32-18/h1-7,10-12H,8-9,13-15H2,(H,25,30)"
Standard Inchi Key(RDKit),FGLIPRBAEJBQEX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CSc1nc2nccnc2c(=O)n1Cc1ccc2c(c1)OCO2)NCCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.53
MW Monoisotopic(RDKit),475.131425152
MolLogP(RDKit),2.4145
XLogP(SDF),
XLogP(CDK),2.168
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),108.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.305799050110617
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,100520688.37737915
qed,0.30579905011061664
Chi0,23.329851878000298
Chi1,16.669836433395453
TPSA,108.23000000000002
Chi0n,18.13913243214815
Chi0v,18.955629013075875
Chi1n,10.707176831897106
Chi1v,11.692775391550594
Chi2n,7.576070466796917
Chi2v,8.518569107656655
Chi3n,5.247802542187102
Chi3v,6.224201327435467
Chi4n,3.572580281866876
Chi4v,4.3891521299208085
MolMR,127.1397
MolWt,475.53000000000026
fr_SH,0
Kappa1,21.90117745597215
Kappa2,9.918812738613683
Kappa3,4.861825139613522
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1393.5201681289675
MolLogP,2.4145000000000003
NOCount,9
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.3298840615817626
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,24.835823814639312
SMR_VSA4,0.0
SMR_VSA5,18.12201451065929
SMR_VSA6,19.09055231875919
SMR_VSA7,82.40533075343687
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,198.72274787466657
NHOHCount,1
PEOE_VSA1,14.790514511606428
PEOE_VSA2,14.156174015934997
PEOE_VSA3,14.951935562841626
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.16008736016077
PEOE_VSA7,29.68045874324322
PEOE_VSA8,18.93844354913873
PEOE_VSA9,12.297610012659364
RingCount,5
SMR_VSA10,28.832942617126612
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,475.13142515199996
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,27.819338086772504
PEOE_VSA12,12.700122035451333
PEOE_VSA13,5.559266895052007
PEOE_VSA14,0.0
SlogP_VSA1,20.349781406658437
SlogP_VSA2,44.51676725874367
SlogP_VSA3,17.760115212910407
SlogP_VSA4,0.0
SlogP_VSA5,11.126902983393991
SlogP_VSA6,70.87559735681157
SlogP_VSA7,0.0
SlogP_VSA8,11.16387793838399
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,41.72087688154669
EState_VSA3,23.200216554301093
EState_VSA4,17.54772460632
EState_VSA5,28.72267174040862
EState_VSA6,0.0
EState_VSA7,48.53093654769288
EState_VSA8,20.268724166847957
EState_VSA9,9.473725907600098
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
