DLiP-ID,T000N4
DLiP-Mol-ID,16255
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H39N7O2/c1-17-7-6-10-21(18(17)2)23-15-22(32-33-23)19-11-13-34(14-12-19)24(35)16-30-26(36)25(31-27(28)29)20-8-4-3-5-9-20/h6-7,10,15,19-20,25H,3-5,8-9,11-14,16H2,1-2H3,(H,30,36)(H,32,33)(H4,28,29,31)/t25-/m1/s1"
Standard Inchi Key(RDKit),BVUICRXIFODRFJ-RUZDIDTESA-N
Canonical SMILES(RDKit),Cc1cccc(-c2cc(C3CCN(C(=O)CNC(=O)[C@H](N=C(N)N)C4CCCCC4)CC3)[nH]n2)c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),493.656
MW Monoisotopic(RDKit),493.316523488
MolLogP(RDKit),2.73804
XLogP(SDF),
XLogP(CDK),3.708
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),142.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.34644716007618
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,IL-2/IL-2Ra
Common Target Pref Name,IL2/IL2R
RDKit Descriptors
Ipc,149738765.84885597
qed,0.3464471600761797
Chi0,25.65612529163336
Chi1,17.3294075958929
TPSA,142.49
Chi0n,21.425357601999703
Chi0v,21.425357601999703
Chi1n,13.092830923045119
Chi1v,13.092830923045119
Chi2n,10.225754802030847
Chi2v,10.225754802030847
Chi3n,7.832726912992343
Chi3v,7.832726912992343
Chi4n,5.519928288363978
Chi4v,5.519928288363978
MolMR,141.2351999999999
MolWt,493.65600000000035
fr_SH,0
Kappa1,25.724545416756417
Kappa2,11.583147927694547
Kappa3,6.0614312375610515
fr_ArN,0
