DLiP-ID,T0007C
DLiP-Mol-ID,15574
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H30N2O5/c1-13(23)10-22-17(24)9-15-18-19(27-20(2,3)26-18)16(25-15)12-21-11-14-7-5-4-6-8-14/h4-8,13,15-16,18-19,21,23H,9-12H2,1-3H3,(H,22,24)/t13-,15-,16+,18+,19-/m1/s1"
Standard Inchi Key(RDKit),APGPTBKZSKTTAZ-XYYYAOKXSA-N
Canonical SMILES(RDKit),C[C@@H](O)CNC(=O)C[C@H]1O[C@@H](CNCc2ccccc2)[C@H]2OC(C)(C)O[C@@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),378.469
MW Monoisotopic(RDKit),378.21547206
MolLogP(RDKit),0.950800000000002
XLogP(SDF),
XLogP(CDK),0.787
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),89.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.62423428203234
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Neuropilin-1/VEGF-A
Common Target Pref Name,Neuropilin-1/VEGF-A
RDKit Descriptors
Ipc,1188175.1233573286
qed,0.6242342820323401
Chi0,19.44094682093905
Chi1,12.838137074321782
TPSA,89.05000000000001
Chi0n,16.182136573997862
Chi0v,16.182136573997862
Chi1n,9.543926063095562
Chi1v,9.543926063095562
Chi2n,7.751471639855017
Chi2v,7.751471639855017
Chi3n,4.744735899668783
Chi3v,4.744735899668783
Chi4n,3.5712217308900542
Chi4v,3.5712217308900542
MolMR,99.94220000000006
MolWt,378.4690000000001
fr_SH,0
Kappa1,20.230095177968085
Kappa2,8.665239109997108
Kappa3,5.492415155304609
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,622.0579025643008
MolLogP,0.9508000000000016
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5542995971099753
SMR_VSA1,24.111653440312676
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,70.04373271922255
SMR_VSA6,13.08951281182515
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,159.92504632196756
NHOHCount,3
PEOE_VSA1,29.950693464253515
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,26.334663090768867
PEOE_VSA8,19.634269217737724
PEOE_VSA9,24.732720786170916
RingCount,3
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
