DLiP-ID,T0045K
DLiP-Mol-ID,21329
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H18N2OS/c1-14-8-2-3-9-15(14)21(26)24-22(25)23-20-18-12-6-4-10-16(18)17-11-5-7-13-19(17)20/h2-13,20H,1H3,(H2,23,24,25,26)"
Standard Inchi Key(RDKit),NEFJNMCACGXFLU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1C(=S)NC(=O)NC1c2ccccc2-c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),358.466
MW Monoisotopic(RDKit),358.113984196
MolLogP(RDKit),4.73972
XLogP(SDF),
XLogP(CDK),4.828
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),41.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.649812297316244
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,1359787.832592246
qed,0.6498122973162437
Chi0,18.0956473593183
Chi1,12.647867045540844
TPSA,41.13
Chi0n,14.322050080392865
Chi0v,15.138546661320591
Chi1n,8.50632450181718
Chi1v,8.914572792281042
Chi2n,6.350020806232359
Chi2v,6.758269096696223
Chi3n,4.725947253402497
Chi3v,5.047922528832186
Chi4n,3.4763580746812015
Chi4v,3.7980847971146723
MolMR,108.26740000000001
MolWt,358.4660000000001
fr_SH,0
Kappa1,16.486382212937368
Kappa2,6.730673332593578
Kappa3,2.887032668937596
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,966.783903389833
MolLogP,4.739720000000004
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.567615692969664
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,12.965578028838586
SMR_VSA6,0.0
SMR_VSA7,95.05021078832733
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.61955555014697
NHOHCount,2
PEOE_VSA1,5.316788604006331
