DLiP-ID,C000YF
DLiP-Mol-ID,31563
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14N2O3/c1-19-12-8-9-13(14(10-12)20-2)16-17-15(18-21-16)11-6-4-3-5-7-11/h3-10H,1-2H3"
Standard Inchi Key(RDKit),VNLYWXSBBWPODL-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2nc(-c3ccccc3)no2)c(OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),282.299
MW Monoisotopic(RDKit),282.100442308
MolLogP(RDKit),3.4208
XLogP(SDF),
XLogP(CDK),3.934
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),57.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.733490516208582
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,123415.8951274999
qed,0.7334905162085824
Chi0,14.656489770562878
Chi1,10.313193047939452
TPSA,57.38000000000001
Chi0n,11.737974215908514
Chi0v,11.737974215908514
Chi1n,6.430981069944059
Chi1v,6.430981069944059
Chi2n,4.355376373515676
Chi2v,4.355376373515676
Chi3n,3.0971170795666128
Chi3v,3.0971170795666128
Chi4n,2.0125565375292402
Chi4v,2.0125565375292402
MolMR,78.27400000000003
MolWt,282.29900000000004
fr_SH,0
Kappa1,13.176433486137155
Kappa2,5.6636735958285
Kappa3,2.578919816420385
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,738.287831904149
MolLogP,3.4208000000000016
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.0023167532719115
SMR_VSA1,13.996820844573445
SMR_VSA2,0.0
SMR_VSA3,10.140641778072654
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,14.219595082555067
