DLiP-ID,T007YM
DLiP-Mol-ID,26323
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H31N3O6/c1-3-13-29(25(33)21(27(35)36)15-23(31)32)24-17(2)14-22(19-7-5-4-6-8-19)30(26(24)34)16-18-9-11-20(28)12-10-18/h4-12,21-22H,3,13-16,28H2,1-2H3,(H,31,32)(H,35,36)"
Standard Inchi Key(RDKit),ZHEFTHJKIUGEFJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCN(C(=O)C(CC(=O)O)C(=O)O)C1=C(C)CC(c2ccccc2)N(Cc2ccc(N)cc2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),493.56
MW Monoisotopic(RDKit),493.221285712
MolLogP(RDKit),3.4305
XLogP(SDF),
XLogP(CDK),2.248
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),141.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.340023815764758
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,67829734.7558983
qed,0.34002381576475843
Chi0,26.405048436076793
Chi1,17.133136710733776
TPSA,141.24
Chi0n,20.385584680063538
Chi0v,20.385584680063538
Chi1n,11.796199871300683
Chi1v,11.796199871300683
Chi2n,8.912739837102594
Chi2v,8.912739837102594
Chi3n,6.218525048310884
Chi3v,6.218525048310884
Chi4n,4.476343898405826
Chi4v,4.476343898405826
MolMR,133.28700000000003
MolWt,493.5600000000002
fr_SH,0
Kappa1,26.4645008650679
Kappa2,11.525734288230938
Kappa3,5.91192026774811
fr_ArN,1
fr_COO,2
fr_C_O,4
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
