DLiP-ID,C001KK
DLiP-Mol-ID,32508
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H21N2S2.HI/c1-3-14-8-10-16-12(14)6-5-7-13-15(4-2)9-11-17-13;/h5-7H,3-4,8-11H2,1-2H3;1H/q+1;/p-1"
Standard Inchi Key(RDKit),GESKGLZQRFOWRW-UHFFFAOYSA-M
Canonical SMILES(RDKit),CCN1CCS/C1=C\C=C\C1=[N+](CC)CCS1.[I-]
SMILES(SDF),
MW(SDF),
MW(RDKit),396.363
MW Monoisotopic(RDKit),396.019088672
MolLogP(RDKit),-0.365599999999998
XLogP(SDF),
XLogP(CDK),3.92
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),6.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.473326948030113
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13558.36242770757
qed,0.47332694803011366
Chi0,12.08757566981053
Chi1,8.346866552750667
TPSA,6.25
Chi0n,11.063579739625034
Chi0v,14.854071192656809
Chi1n,6.355953717450188
Chi1v,8.327150836757163
Chi2n,4.058520439166884
Chi2v,6.288920181745379
Chi3n,3.0866916810259344
Chi3v,5.240183872710633
Chi4n,2.071463768865083
Chi4v,4.268593853758806
MolMR,80.06140000000003
MolWt,396.36299999999994
fr_SH,0
Kappa1,16.434406964091405
Kappa2,8.530776291727923
Kappa3,4.198083082794586
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,364.0027448762751
MolLogP,-0.36559999999999837
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.619999092350525e-06
SMR_VSA1,28.552165984741873
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,37.684732837143876
SMR_VSA7,23.257131617378256
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,135.98282813918502
NHOHCount,0
PEOE_VSA1,28.876549856112536
PEOE_VSA2,0.0
PEOE_VSA3,4.575525859479815
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,17.837905056224997
PEOE_VSA7,19.92349450621513
PEOE_VSA8,24.91838652540582
PEOE_VSA9,10.781924903623402
RingCount,2
SMR_VSA10,28.56748688537371
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,396.019088672
NumHDonors,0
PEOE_VSA10,6.544756405912575
PEOE_VSA11,6.544756405912575
PEOE_VSA12,5.043716986591482
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,23.97664012526206
SlogP_VSA2,52.20388541406565
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,13.847474399381248
