DLiP-ID,C002JD
DLiP-Mol-ID,31530
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N2O3/c19-16(18(21)22)8-13-10-20-17-7-6-14(9-15(13)17)23-11-12-4-2-1-3-5-12/h1-7,9-10,16,20H,8,11,19H2,(H,21,22)"
Standard Inchi Key(RDKit),DFGNDJBYANKHIO-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(Cc1c[nH]c2ccc(OCc3ccccc3)cc12)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),310.353
MW Monoisotopic(RDKit),310.131742436
MolLogP(RDKit),2.7013
XLogP(SDF),
XLogP(CDK),0.354
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),88.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.652915877904955
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,250603.43988458777
qed,0.6529158779049553
Chi0,16.233840039752504
Chi1,11.131030293135236
TPSA,88.34000000000002
Chi0n,12.528776699886667
Chi0v,12.528776699886667
Chi1n,7.383961505812382
Chi1v,7.383961505812382
Chi2n,5.44443221906655
Chi2v,5.44443221906655
Chi3n,3.7442386790428075
Chi3v,3.7442386790428075
Chi4n,2.481320712415615
Chi4v,2.481320712415615
MolMR,88.38790000000006
MolWt,310.35300000000007
fr_SH,0
Kappa1,15.119029907917161
Kappa2,6.539728505547018
Kappa3,3.5190137138144615
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,811.5045791388817
MolLogP,2.7013000000000007
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.7847117733225077
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,19.06954441658689
SMR_VSA6,0.0
SMR_VSA7,65.85468310269995
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.24828251465635
NHOHCount,4
PEOE_VSA1,20.56103634675015
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
