DLiP-ID,P000EW
DLiP-Mol-ID,25595
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14N4O2/c1-9-15-16-14-7-5-11(17-18(9)14)10-4-6-12(19-2)13(8-10)20-3/h4-8H,1-3H3"
Standard Inchi Key(RDKit),SBNMXRKZAVLTHG-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2ccc3nnc(C)n3n2)cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),270.292
MW Monoisotopic(RDKit),270.111675688
MolLogP(RDKit),2.11692
XLogP(SDF),
XLogP(CDK),3.772
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),61.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.729159868707732
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,61567.543464866765
qed,0.7291598687077321
Chi0,14.11251969619286
Chi1,9.723876650462412
TPSA,61.540000000000006
Chi0n,11.49210230887569
Chi0v,11.49210230887569
Chi1n,6.14149633437703
Chi1v,6.14149633437703
Chi2n,4.305552161079763
