DLiP-ID,C0018R
DLiP-Mol-ID,31997
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H12N2O3/c20-16-3-1-2-13-7-9-14(18-17(13)16)8-4-12-5-10-15(11-6-12)19(21)22/h1-11,20H/b8-4+"
Standard Inchi Key(RDKit),IYNSTUJMKUTNSD-XBXARRHUSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc(O)c3n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),292.294
MW Monoisotopic(RDKit),292.084792244
MolLogP(RDKit),4.019
XLogP(SDF),
XLogP(CDK),3.912
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),76.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.584001071778563
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,126934.02012458917
qed,0.5840010717785625
Chi0,15.526733258565956
Chi1,10.631030293135236
TPSA,76.26
Chi0n,11.508990328513487
Chi0v,11.508990328513487
Chi1n,6.646326908618158
Chi1v,6.646326908618158
Chi2n,4.766950063241671
Chi2v,4.766950063241671
Chi3n,3.270940529812864
Chi3v,3.270940529812864
Chi4n,2.128097422715209
Chi4v,2.128097422715209
MolMR,85.43220000000001
MolWt,292.294
fr_SH,0
Kappa1,13.758455946810924
Kappa2,5.651143479347038
