DLiP-ID,T004ZU
DLiP-Mol-ID,21714
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26N4O5/c29-23(30)13-17(16-7-9-19-20(11-16)32-14-31-19)12-22-27-21(28-33-22)5-1-4-18-8-6-15-3-2-10-25-24(15)26-18/h6-9,11,17H,1-5,10,12-14H2,(H,25,26)(H,29,30)/t17-/m0/s1"
Standard Inchi Key(RDKit),PRTDUHZCDXSBIZ-KRWDZBQOSA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](Cc1nc(CCCc2ccc3c(n2)NCCC3)no1)c1ccc2c(c1)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),450.495
MW Monoisotopic(RDKit),450.190319932
MolLogP(RDKit),3.5277
XLogP(SDF),
XLogP(CDK),2.741
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),119.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.504333349996607
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,61819992.536542125
qed,0.5043333499966064
Chi0,22.622745096813755
Chi1,16.13616292858424
TPSA,119.60000000000001
Chi0n,18.24991018967197
Chi0v,18.24991018967197
Chi1n,11.293271355770008
Chi1v,11.293271355770008
Chi2n,8.410155745723092
Chi2v,8.410155745723092
Chi3n,6.005336165851196
Chi3v,6.005336165851196
Chi4n,4.306783835852351
Chi4v,4.306783835852351
MolMR,118.63350000000004
MolWt,450.4950000000003
fr_SH,0
Kappa1,21.237525288442793
Kappa2,9.47739902329958
Kappa3,5.075411188198879
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
