DLiP-ID,P0003N
DLiP-Mol-ID,22983
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H16BrN3O4S/c1-9-11-7-13(12(18-2)8-15(11)24-19-9)20-25(21,22)16-6-10(17)4-5-14(16)23-3/h4-8,18,20H,1-3H3"
Standard Inchi Key(RDKit),DVWBDPNOOAMAKK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNc1cc2onc(C)c2cc1NS(=O)(=O)c1cc(Br)ccc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),426.292
MW Monoisotopic(RDKit),425.004489092
MolLogP(RDKit),3.74982
XLogP(SDF),
XLogP(CDK),3.333
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),93.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.645716861213506
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,447100.40925075306
qed,0.6457168612135058
Chi0,18.189869965382485
Chi1,11.851703735303989
TPSA,93.46
Chi0n,13.75317086677663
Chi0v,16.15566398681906
Chi1n,7.295975834906407
Chi1v,9.572137352058153
Chi2n,5.312615694247241
Chi2v,7.879115349284862
Chi3n,3.7192951965069905
Chi3v,5.5992543302595
Chi4n,2.4564556917750004
Chi4v,4.235771391066158
MolMR,99.79520000000001
MolWt,426.2920000000001
fr_SH,0
Kappa1,17.559419292901637
Kappa2,6.565582339095854
Kappa3,3.290431928312376
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1046.9596014148487
MolLogP,3.7498200000000015
NOCount,7
fr_Ar_N,1
fr_COO2,0
